ref_id,replicate_id,seed,logZ_inf_full,logZ_per_P,split0_logZ_full_proxy,split1_logZ_full_proxy,replicate_split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,weighted_h,smc_mean_mh_acceptance,smc_step_count
27,0,9935500,-162.28008658825547,-0.06594070970672714,-161.58695957600216,-172.39834765557873,0.004393087395195682,0.7271433089228958,0.20406493946534326,0.08217178531178738,0.6373685374755222,0.3872386465827338,70
27,1,10935503,-162.54652292845608,-0.0660489731525624,-161.88490979909574,-165.325788667193,0.0013981628882963257,0.8340979676217227,0.214794813585045,0.08892092288442249,0.6540903642941607,0.3974903078007519,67
27,2,11935506,-161.19595292114303,-0.065500184039473,-160.88831154280948,-161.64257304729585,0.0003064857799619583,0.746527655819538,0.19863757407022598,0.0833175680128153,0.6288738522241603,0.3793591485507246,69
27,3,12935509,-146.0046669191526,-0.05932737379892426,-145.31151973896877,-167.01265678978518,0.008818015867865264,0.7972907834555647,0.2074401821612827,0.08983306312742485,0.6420366020858297,0.41771721117424243,67
27,4,13935512,-163.508838951257,-0.06643999957385494,-178.968782380978,-162.81569186725807,0.00656362881500201,0.6317108179729023,0.21747737236888762,0.09154243881255797,0.6573641486309738,0.391845703125,70
27,5,14935515,-157.28804731432967,-0.06391225002613965,-156.59490321407512,-169.28538348371268,0.005156635623582918,0.7164143437713663,0.20618969434545792,0.08561082107819917,0.6404577697041514,0.4005787037037037,68
27,6,15935518,-159.15758388359106,-0.0646719154342101,-161.5679191835356,-158.51036817903844,0.0012424018709862482,0.6832349556152366,0.21749546263448405,0.09088445767978598,0.65827304375204,0.41189903846153847,66
27,7,16935521,-152.3842807446134,-0.0619196589779006,-151.69113356510988,-172.35949360709,0.008398358407956165,0.7160498045274937,0.21397078745494047,0.09225073673719239,0.6522006144818545,0.3976236979166667,66
27,8,17935524,-163.97654710552413,-0.0666300475845283,-177.3958738212416,-163.2834006680357,0.005734446628689916,0.7055524132679556,0.21816407860664921,0.0914843557882996,0.6591556905987247,0.39738136574074073,68
27,9,18935527,-167.91045837685152,-0.06822854871062638,-167.21748130723478,-175.89645597728654,0.003526604904531393,0.6032950575041435,0.23890853481934654,0.09741151053735357,0.6900444416168942,0.4025102955426357,66
27,10,19935530,-167.59372578058944,-0.06809984794010136,-166.90064397358734,-176.53600398223702,0.003915221458207917,0.9996299057637905,0.23070171442569537,0.08969425522701716,0.6777863682777743,0.3978308475378788,68
