rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,phi_energy_raw_mean,reference_sd_phi_energy_raw,reference_se_phi_energy_raw,delta_phi_energy_unit_mean,reference_sd_delta_phi_energy_unit,reference_se_delta_phi_energy_unit,logZ_inf_full_mean,reference_sd_logZ_inf_full,reference_se_logZ_inf_full
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.01,r_0p0100,30,-0.0009585889851335401,0.00034299634322048175,6.262227810788066e-05,0.0035236295118993106,0.0004926091742860612,8.993771893015653e-05,-2.3590874924137655,0.8441140006655984,0.15411342642349302
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.02,r_0p0200,30,-0.0010372616699596835,0.0003580998701606554,6.53797922422207e-05,0.0034449568270731633,0.00047452997997217926,8.663692474774576e-05,-2.5527009697709095,0.8812837804653768,0.16089966870810585
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.03,r_0p0300,30,-0.0011831618979026366,0.00038376149416171625,7.00649423514197e-05,0.0032990565991302128,0.00044421578982110487,8.11023361616643e-05,-2.91176143073851,0.9444370371319596,0.17242982312683947
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.04,r_0p0400,30,-0.0014106053197844766,0.00042094348062103886,7.685341325696057e-05,0.003071613177248377,0.00040076443559646093,7.316924054066934e-05,-3.4714996919897088,1.0359419058083896,0.18913625002538234
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.05,r_0p0500,30,-0.00172567687958592,0.00046478034084926914,8.485689232269484e-05,0.002756541617446913,0.00035027263652242255,6.395074143337957e-05,-4.2468908006611,1.143824418830069,0.20883281200615522
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.06,r_0p0600,30,-0.002131182416041603,0.0005251696289080185,9.588241742317963e-05,0.0023510360809912497,0.0002858534675729938,5.218946411026674e-05,-5.244839925878491,1.2924424567426454,0.23596662927844725
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.07,r_0p0700,30,-0.0026172358973893272,0.0005826060207633551,0.00010636881990347092,0.0018649825996435068,0.00022527944221137027,4.113021074711633e-05,-6.441017543475277,1.4337934170985829,0.2617736657824357
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.08,r_0p0800,30,-0.0031677573943371434,0.0006454712953981187,0.00011784639623721004,0.0013144611026957133,0.00016672169409567454,3.0439077560558935e-05,-7.795850947463825,1.5885048579747487,0.29001998113977
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.09,r_0p0900,30,-0.00381183826407293,0.00072127862630394,0.000131686857957669,0.0006703802329599165,9.828697331131916e-05,1.794466413050591e-05,-9.380933967883603,1.7750666993340005,0.32408135743382416
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.1,r_0p1000,30,-0.004482218497032894,0.0007837800025536933,0.0001430979958400382,0.0,0.0,0.0,-11.030739721198087,1.9288825862846262,0.35216416776233156
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.11,r_0p1100,30,-0.00521821712950918,0.0008452033879561054,0.00015431232042111638,-0.0007359986324762267,0.00017185164420307217,3.137567402479152e-05,-12.842032355722221,2.080045537759993,0.37976262055637067
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.12,r_0p1200,30,-0.00599690367931876,0.0008769047661219087,0.00016010017372958713,-0.0015146851822858132,0.00019668008819111294,3.590870697145933e-05,-14.758379954803571,2.158062629426028,0.39400652754851584
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.13,r_0p1300,30,-0.0067907374856293334,0.000963712670879979,0.00017594905626483885,-0.0023085189885963696,0.00025564773389411444,4.6674676876294835e-05,-16.712004952133892,2.3716968830356353,0.43301062746776964
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.14,r_0p1400,30,-0.007618357015084274,0.0010812015399218632,0.0001973994908748423,-0.0031361385180513303,0.00037647974037422713,6.873548208221754e-05,-18.74877661412254,2.660836989747694,0.48580014704298474
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.15,r_0p1500,30,-0.008489978850698573,0.0010367628620489113,0.0001892861354426018,-0.00400776035366562,0.00035838706641179435,6.543222686394727e-05,-20.893837951569306,2.551473403502354,0.46583317932423995
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.16,r_0p1600,30,-0.009309912759482421,0.001126955449564644,0.00020575297367664367,-0.004827694262449483,0.0004895665213778187,8.938220905265548e-05,-22.91169530108638,2.773437361378592,0.5063580682182206
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.17,r_0p1700,30,-0.010219267046677813,0.0011735209937800946,0.00021425463999974584,-0.00573704854964487,0.0005689305850447702,0.00010387203836121064,-25.149616201874228,2.8880351656928287,0.5272806690393774
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.18,r_0p1800,30,-0.011129872125074,0.0013372347047030217,0.0002441445374815349,-0.006647653628041053,0.000648524222471241,0.00011840378191199915,-27.390615299807248,3.2909346082741613,0.6008397067420619
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.19,r_0p1900,30,-0.011927885228340302,0.001339413794680147,0.00024454238305996986,-0.007445666731307357,0.0006987992298955656,0.00012758270046034657,-29.354525546945627,3.296297348707858,0.6018188047105888
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.2,r_0p2000,30,-0.012914074339141093,0.0013737685385366261,0.0002508146724491384,-0.008431855842108147,0.000735091445840033,0.00013420872223855772,-31.78153694862634,3.380844373338648,0.6172549088973317
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.21,r_0p2100,30,-0.01347434085896969,0.001531390595856493,0.0002795923912339595,-0.008992122361936741,0.0009149464884217572,0.00016704561020624523,-33.16035285392453,3.7687522564028173,0.6880768748267722
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.22,r_0p2200,30,-0.014530610118920241,0.0014085538625317432,0.00025716557465655553,-0.01004839162188728,0.0007731267585067631,0.00014115298848166774,-35.75983150266281,3.4664510556905963,0.6328844792297788
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.23,r_0p2300,30,-0.015262088071490543,0.0015459192786677653,0.00028224495366948335,-0.010779869574457588,0.0009594142757314724,0.00017516428027020288,-37.55999874393833,3.804507344801365,0.6946048309805974
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.24,r_0p2400,30,-0.0160597147437431,0.001495741162887603,0.00027308372503418306,-0.011577496246710162,0.0008588944286937426,0.0001568119510370251,-39.52295798435189,3.6810190018664057,0.6720590473091271
