rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,smc_completed_count,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,split_logZ_per_P_diff_mean,threshold_max_split_logZ_per_P_diff,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.01,r_0p0100,30,30,3.7607917940246962e-06,5.2475984481636805e-06,0.00045654576284233497,0.000507220421516,0.9918022690080551,0.9914498845436844,1.5291049895808745e-06,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.02,r_0p0200,30,30,8.719138889232181e-06,1.0521092449193776e-05,0.0006694968455017799,0.0009211817282156,0.9563053898023721,0.9549874643323992,3.244997045489517e-06,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.03,r_0p0300,30,30,1.89012264502397e-05,2.3547772528800906e-05,0.00111945478328615,0.0012648613939683,0.8527028644142443,0.9500000000004585,7.6161009541058805e-06,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.04,r_0p0400,30,30,2.000780882979242e-05,2.7835749820011044e-05,0.0019252611187009741,0.002168329597783,0.6877251893819423,0.9500000000010765,9.345140902332366e-06,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.05,r_0p0500,30,30,2.5602481881922233e-05,3.888784293573498e-05,0.0025224515540793577,0.0028706236229676,0.5647321576603226,0.9500000000018056,1.1755958840289536e-05,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.06,r_0p0600,30,30,6.347321381081642e-05,7.354645768348079e-05,0.0030301024529059877,0.0041051076727389,0.5561326701894576,0.950000000000639,2.5329341729149417e-05,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.07,r_0p0700,30,30,0.00010533713115711896,0.0001119815280462,0.003988639680176885,0.0059898481943656,0.6965743180511037,0.9500000000002832,4.7870331116809394e-05,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.08,r_0p0800,30,30,9.025629108019883e-05,0.0001356639887464,0.006032803238923299,0.0069099811627025,0.5545760206531347,0.9500000000004466,4.261198684562252e-05,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.09,r_0p0900,30,30,0.00022937201599754984,0.0003818262202496,0.007965732285992901,0.0171322025096612,0.6767655390440596,0.9500000000003223,8.870369806500365e-05,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.1,r_0p1000,30,30,0.00022375240661792991,0.0002933449833527,0.008749745161787767,0.0118603168086455,0.6849305591515307,0.9500000000004758,9.98428784884649e-05,0.004,pass
