rule_id,rule,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
rule_002,real_even_odd,2461,0.05,9.34501324170861e-06,-9.34501e-06
rule_002,real_even_odd,2461,0.05,2.2203295759709644e-06,2.22033e-06
rule_002,real_even_odd,2461,0.05,1.2378026605718404e-05,1.2378e-05
rule_002,real_even_odd,2461,0.05,3.2769592700634465e-07,-3.27696e-07
rule_002,real_even_odd,2461,0.05,5.549799835878568e-06,5.5498e-06
rule_002,real_even_odd,2461,0.05,9.304018803602532e-07,-9.30402e-07
rule_002,real_even_odd,2461,0.05,9.35568876165239e-07,9.35569e-07
rule_002,real_even_odd,2461,0.05,1.0124285794757333e-05,1.01243e-05
rule_002,real_even_odd,2461,0.05,1.7995253913948745e-05,1.79953e-05
rule_002,real_even_odd,2461,0.05,2.1943860559311315e-06,-2.19439e-06
rule_002,real_even_odd,2461,0.05,4.249116948220226e-06,4.24912e-06
rule_002,real_even_odd,2461,0.05,3.073606683638415e-06,-3.07361e-06
rule_002,real_even_odd,2461,0.05,1.8692905959150608e-05,1.86929e-05
rule_002,real_even_odd,2461,0.05,4.655329483419538e-06,4.65533e-06
rule_002,real_even_odd,2461,0.05,1.0012987199176492e-05,-1.0013e-05
rule_002,real_even_odd,2461,0.05,1.247847912666116e-06,1.24785e-06
rule_002,real_even_odd,2461,0.05,8.743041041474187e-06,-8.74304e-06
rule_002,real_even_odd,2461,0.05,1.249971391445431e-05,-1.24997e-05
rule_002,real_even_odd,2461,0.05,8.712070099660693e-06,8.71207e-06
rule_002,real_even_odd,2461,0.05,1.884042752439508e-06,-1.88404e-06
rule_002,real_even_odd,2461,0.05,3.678402275196996e-06,-3.6784e-06
rule_002,real_even_odd,2461,0.05,1.0978829487761371e-05,1.09788e-05
rule_002,real_even_odd,2461,0.05,1.9641410347868773e-05,-1.96414e-05
rule_002,real_even_odd,2461,0.05,1.3038342387829524e-05,-1.30383e-05
rule_002,real_even_odd,2461,0.05,2.9303460669893e-07,-2.93035e-07
rule_002,real_even_odd,2461,0.05,2.1223821223185678e-06,-2.12238e-06
rule_002,real_even_odd,2461,0.05,1.6342398571271922e-06,1.63424e-06
rule_002,real_even_odd,2461,0.05,1.747537936633898e-05,-1.74754e-05
rule_002,real_even_odd,2461,0.05,8.149913485197982e-06,-8.14991e-06
rule_002,real_even_odd,2461,0.05,3.609323599705136e-06,3.60932e-06
rule_002,real_even_odd,2461,0.1,7.880188745024299e-05,-7.88019e-05
rule_002,real_even_odd,2461,0.1,4.273934279683776e-05,4.27393e-05
rule_002,real_even_odd,2461,0.1,0.0002046341133364,0.000204634
rule_002,real_even_odd,2461,0.1,1.6576570531854103e-05,1.65766e-05
rule_002,real_even_odd,2461,0.1,0.0001654330421885,-0.000165433
rule_002,real_even_odd,2461,0.1,6.80205288494171e-05,-6.80205e-05
rule_002,real_even_odd,2461,0.1,4.9004874613042194e-05,4.90049e-05
rule_002,real_even_odd,2461,0.1,0.000175276038927,-0.000175276
rule_002,real_even_odd,2461,0.1,7.217238862085234e-07,-7.21724e-07
rule_002,real_even_odd,2461,0.1,1.8717016298872703e-05,1.8717e-05
rule_002,real_even_odd,2461,0.1,6.833323321738751e-05,6.83332e-05
rule_002,real_even_odd,2461,0.1,0.0002947763796695,-0.000294776
rule_002,real_even_odd,2461,0.1,0.0005593509292632,-0.000559351
rule_002,real_even_odd,2461,0.1,3.231579339617008e-05,-3.23158e-05
rule_002,real_even_odd,2461,0.1,0.0001156123985159,-0.000115612
rule_002,real_even_odd,2461,0.1,1.548296953617864e-05,-1.5483e-05
rule_002,real_even_odd,2461,0.1,4.5279342826110895e-05,-4.52793e-05
rule_002,real_even_odd,2461,0.1,3.782989829464269e-05,-3.78299e-05
rule_002,real_even_odd,2461,0.1,9.996428919111355e-05,-9.99643e-05
rule_002,real_even_odd,2461,0.1,7.144205650099975e-05,-7.14421e-05
rule_002,real_even_odd,2461,0.1,8.290446266810008e-06,8.29045e-06
rule_002,real_even_odd,2461,0.1,2.716406729433674e-05,-2.71641e-05
rule_002,real_even_odd,2461,0.1,0.0002194189239488,0.000219419
rule_002,real_even_odd,2461,0.1,8.625763124266927e-05,-8.62576e-05
rule_002,real_even_odd,2461,0.1,0.0001108640870049,0.000110864
rule_002,real_even_odd,2461,0.1,0.0001257816212588,-0.000125782
rule_002,real_even_odd,2461,0.1,6.077419733442046e-05,-6.07742e-05
rule_002,real_even_odd,2461,0.1,5.568111681205315e-05,5.56811e-05
rule_002,real_even_odd,2461,0.1,0.0002982488286773,-0.000298249
rule_002,real_even_odd,2461,0.1,3.685376812288001e-05,3.68538e-05
rule_002,real_even_odd,2461,0.15,0.0002417824752197,0.000241782
