rule_id,rule,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
rule_001,very_low_tv_spectral_teacher,2461,0.1,5.0375469238997645e-05,-5.03755e-05
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0002911815089218,-0.000291182
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0008395009800441,0.000839501
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003473632134706,-0.000347363
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0011666462784697,0.00116665
rule_001,very_low_tv_spectral_teacher,2461,0.15,8.659112825139851e-05,-8.65911e-05
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.000540984730343,0.000540985
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0006661393437572,-0.000666139
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0001967137163907,0.000196714
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0004850981780354,0.000485098
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.000300572266601,-0.000300572
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0004183948275827,0.000418395
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0004707725308825,-0.000470773
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0002327330992119,-0.000232733
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0004970765906314,-0.000497077
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0007096293658946,-0.000709629
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0002816451758653,-0.000281645
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003753255340363,0.000375326
rule_001,very_low_tv_spectral_teacher,2461,0.15,6.295175368349001e-05,-6.29518e-05
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0001397776913186,-0.000139778
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003193370568992,-0.000319337
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0005006477032056,0.000500648
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003824259478954,0.000382426
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003210318624683,0.000321032
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0001215700583933,0.00012157
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003021101973326,-0.00030211
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0002221031482292,-0.000222103
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0003060889447464,0.000306089
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.000442324561217,-0.000442325
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.0004099116896822,0.000409912
rule_001,very_low_tv_spectral_teacher,2461,0.15,0.000381579107828,0.000381579
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0008838166624278,0.000883817
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0004043685260029,-0.000404369
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0013422747867345,0.00134227
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0002058346059579,0.000205835
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0014675365064124,-0.00146754
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000239787796032,-0.000239788
rule_001,very_low_tv_spectral_teacher,2461,0.2,2.1266529042950076e-05,2.12665e-05
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0011352550182901,-0.00113526
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0001445753686458,-0.000144575
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000844378854994,-0.000844379
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0002335363588388,-0.000233536
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0007638627815847,-0.000763863
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0003816905705018,0.000381691
rule_001,very_low_tv_spectral_teacher,2461,0.2,4.538732811541821e-06,-4.53873e-06
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0003549102918727,0.00035491
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000959807856488,0.000959808
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000434607495998,-0.000434607
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0001237890733851,-0.000123789
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0002033879181006,-0.000203388
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0010698804813099,0.00106988
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0001634106872092,-0.000163411
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000106714985404,-0.000106715
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0005596944369502,-0.000559694
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0015775162342631,0.00157752
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0003587080922508,0.000358708
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0006354489826396,-0.000635449
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0003059847755004,0.000305985
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0008133820657877,-0.000813382
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.000566726934546,0.000566727
rule_001,very_low_tv_spectral_teacher,2461,0.2,0.0013696543444789,-0.00136965
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0002419451806338,-0.000241945
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0004676841047506,0.000467684
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0002200178965325,0.000220018
