beta,A_kappa
0.05,0.006388340833340936
0.07,0.005907973269225126
0.09,0.00519914194546575
0.11,0.004639390150391631
0.13,0.0038304985906941146
0.15,0.0030644865494894656
0.17,0.001880031350040088
0.19,0.001002657733329221
0.21,0.00025713509901986617
0.23,1.842362253994395e-05
0.25,0.0
0.27,0.0
0.29,0.0
0.31,0.0
0.33,0.0
0.35,2.907620925219498e-05
0.37,3.947831499114675e-06
0.39,1.325786993130032e-05
