selector,rule,ref_id,radius,radius_token
dense_qc_stable_ref30,random_label,5,0.12,0p1200
dense_qc_stable_ref30,random_label,5,0.15,0p1500
dense_qc_stable_ref30,random_label,5,0.2,0p2000
dense_qc_stable_ref30,random_label,5,0.3,0p3000
dense_qc_stable_ref30,random_label,5,0.45,0p4500
dense_qc_stable_ref30,random_label,5,0.65,0p6500
dense_qc_stable_ref30,random_label,6,0.12,0p1200
dense_qc_stable_ref30,random_label,6,0.15,0p1500
dense_qc_stable_ref30,random_label,6,0.2,0p2000
dense_qc_stable_ref30,random_label,6,0.3,0p3000
dense_qc_stable_ref30,random_label,6,0.45,0p4500
dense_qc_stable_ref30,random_label,6,0.65,0p6500
dense_qc_stable_ref30,random_label,15,0.12,0p1200
dense_qc_stable_ref30,random_label,15,0.15,0p1500
dense_qc_stable_ref30,random_label,15,0.2,0p2000
dense_qc_stable_ref30,random_label,15,0.3,0p3000
dense_qc_stable_ref30,random_label,15,0.45,0p4500
dense_qc_stable_ref30,random_label,15,0.65,0p6500
dense_qc_stable_ref30,random_label,16,0.12,0p1200
dense_qc_stable_ref30,random_label,16,0.15,0p1500
dense_qc_stable_ref30,random_label,16,0.2,0p2000
dense_qc_stable_ref30,random_label,16,0.3,0p3000
dense_qc_stable_ref30,random_label,16,0.45,0p4500
dense_qc_stable_ref30,random_label,16,0.65,0p6500
dense_qc_stable_ref30,random_label,17,0.12,0p1200
dense_qc_stable_ref30,random_label,17,0.15,0p1500
dense_qc_stable_ref30,random_label,17,0.2,0p2000
dense_qc_stable_ref30,random_label,17,0.3,0p3000
dense_qc_stable_ref30,random_label,17,0.45,0p4500
dense_qc_stable_ref30,random_label,17,0.65,0p6500
dense_qc_stable_ref30,random_label,19,0.12,0p1200
dense_qc_stable_ref30,random_label,19,0.15,0p1500
dense_qc_stable_ref30,random_label,19,0.2,0p2000
dense_qc_stable_ref30,random_label,19,0.3,0p3000
dense_qc_stable_ref30,random_label,19,0.45,0p4500
dense_qc_stable_ref30,random_label,19,0.65,0p6500
dense_qc_stable_ref30,random_label,20,0.12,0p1200
dense_qc_stable_ref30,random_label,20,0.15,0p1500
dense_qc_stable_ref30,random_label,20,0.2,0p2000
dense_qc_stable_ref30,random_label,20,0.3,0p3000
dense_qc_stable_ref30,random_label,20,0.45,0p4500
dense_qc_stable_ref30,random_label,20,0.65,0p6500
dense_qc_stable_ref30,random_label,21,0.12,0p1200
dense_qc_stable_ref30,random_label,21,0.15,0p1500
dense_qc_stable_ref30,random_label,21,0.2,0p2000
dense_qc_stable_ref30,random_label,21,0.3,0p3000
dense_qc_stable_ref30,random_label,21,0.45,0p4500
dense_qc_stable_ref30,random_label,21,0.65,0p6500
dense_qc_stable_ref30,random_label,24,0.12,0p1200
dense_qc_stable_ref30,random_label,24,0.15,0p1500
dense_qc_stable_ref30,random_label,24,0.2,0p2000
dense_qc_stable_ref30,random_label,24,0.3,0p3000
dense_qc_stable_ref30,random_label,24,0.45,0p4500
dense_qc_stable_ref30,random_label,24,0.65,0p6500
dense_qc_stable_ref30,random_label,25,0.12,0p1200
dense_qc_stable_ref30,random_label,25,0.15,0p1500
dense_qc_stable_ref30,random_label,25,0.2,0p2000
dense_qc_stable_ref30,random_label,25,0.3,0p3000
dense_qc_stable_ref30,random_label,25,0.45,0p4500
dense_qc_stable_ref30,random_label,25,0.65,0p6500
dense_qc_stable_ref30,random_label,26,0.12,0p1200
dense_qc_stable_ref30,random_label,26,0.15,0p1500
dense_qc_stable_ref30,random_label,26,0.2,0p2000
dense_qc_stable_ref30,random_label,26,0.3,0p3000
dense_qc_stable_ref30,random_label,26,0.45,0p4500
dense_qc_stable_ref30,random_label,26,0.65,0p6500
dense_qc_stable_ref30,random_label,28,0.12,0p1200
dense_qc_stable_ref30,random_label,28,0.15,0p1500
dense_qc_stable_ref30,random_label,28,0.2,0p2000
dense_qc_stable_ref30,random_label,28,0.3,0p3000
dense_qc_stable_ref30,random_label,28,0.45,0p4500
dense_qc_stable_ref30,random_label,28,0.65,0p6500
dense_qc_stable_ref30,random_label,32,0.12,0p1200
dense_qc_stable_ref30,random_label,32,0.15,0p1500
dense_qc_stable_ref30,random_label,32,0.2,0p2000
dense_qc_stable_ref30,random_label,32,0.3,0p3000
dense_qc_stable_ref30,random_label,32,0.45,0p4500
dense_qc_stable_ref30,random_label,32,0.65,0p6500
dense_qc_stable_ref30,random_label,33,0.12,0p1200
dense_qc_stable_ref30,random_label,33,0.15,0p1500
dense_qc_stable_ref30,random_label,33,0.2,0p2000
dense_qc_stable_ref30,random_label,33,0.3,0p3000
dense_qc_stable_ref30,random_label,33,0.45,0p4500
dense_qc_stable_ref30,random_label,33,0.65,0p6500
dense_qc_stable_ref30,random_label,35,0.12,0p1200
dense_qc_stable_ref30,random_label,35,0.15,0p1500
dense_qc_stable_ref30,random_label,35,0.2,0p2000
dense_qc_stable_ref30,random_label,35,0.3,0p3000
dense_qc_stable_ref30,random_label,35,0.45,0p4500
dense_qc_stable_ref30,random_label,35,0.65,0p6500
dense_qc_stable_ref30,random_label,36,0.12,0p1200
dense_qc_stable_ref30,random_label,36,0.15,0p1500
dense_qc_stable_ref30,random_label,36,0.2,0p2000
dense_qc_stable_ref30,random_label,36,0.3,0p3000
dense_qc_stable_ref30,random_label,36,0.45,0p4500
dense_qc_stable_ref30,random_label,36,0.65,0p6500
dense_qc_stable_ref30,random_label,39,0.12,0p1200
dense_qc_stable_ref30,random_label,39,0.15,0p1500
dense_qc_stable_ref30,random_label,39,0.2,0p2000
dense_qc_stable_ref30,random_label,39,0.3,0p3000
dense_qc_stable_ref30,random_label,39,0.45,0p4500
dense_qc_stable_ref30,random_label,39,0.65,0p6500
dense_qc_stable_ref30,random_label,42,0.12,0p1200
dense_qc_stable_ref30,random_label,42,0.15,0p1500
dense_qc_stable_ref30,random_label,42,0.2,0p2000
dense_qc_stable_ref30,random_label,42,0.3,0p3000
dense_qc_stable_ref30,random_label,42,0.45,0p4500
dense_qc_stable_ref30,random_label,42,0.65,0p6500
dense_qc_stable_ref30,random_label,44,0.12,0p1200
dense_qc_stable_ref30,random_label,44,0.15,0p1500
dense_qc_stable_ref30,random_label,44,0.2,0p2000
dense_qc_stable_ref30,random_label,44,0.3,0p3000
dense_qc_stable_ref30,random_label,44,0.45,0p4500
dense_qc_stable_ref30,random_label,44,0.65,0p6500
dense_qc_stable_ref30,random_label,45,0.12,0p1200
dense_qc_stable_ref30,random_label,45,0.15,0p1500
dense_qc_stable_ref30,random_label,45,0.2,0p2000
dense_qc_stable_ref30,random_label,45,0.3,0p3000
dense_qc_stable_ref30,random_label,45,0.45,0p4500
dense_qc_stable_ref30,random_label,45,0.65,0p6500
dense_qc_stable_ref30,random_label,47,0.12,0p1200
dense_qc_stable_ref30,random_label,47,0.15,0p1500
dense_qc_stable_ref30,random_label,47,0.2,0p2000
dense_qc_stable_ref30,random_label,47,0.3,0p3000
dense_qc_stable_ref30,random_label,47,0.45,0p4500
dense_qc_stable_ref30,random_label,47,0.65,0p6500
dense_qc_stable_ref30,random_label,48,0.12,0p1200
dense_qc_stable_ref30,random_label,48,0.15,0p1500
dense_qc_stable_ref30,random_label,48,0.2,0p2000
dense_qc_stable_ref30,random_label,48,0.3,0p3000
dense_qc_stable_ref30,random_label,48,0.45,0p4500
dense_qc_stable_ref30,random_label,48,0.65,0p6500
dense_qc_stable_ref30,random_label,49,0.12,0p1200
dense_qc_stable_ref30,random_label,49,0.15,0p1500
dense_qc_stable_ref30,random_label,49,0.2,0p2000
dense_qc_stable_ref30,random_label,49,0.3,0p3000
dense_qc_stable_ref30,random_label,49,0.45,0p4500
dense_qc_stable_ref30,random_label,49,0.65,0p6500
dense_qc_stable_ref30,random_label,50,0.12,0p1200
dense_qc_stable_ref30,random_label,50,0.15,0p1500
dense_qc_stable_ref30,random_label,50,0.2,0p2000
dense_qc_stable_ref30,random_label,50,0.3,0p3000
dense_qc_stable_ref30,random_label,50,0.45,0p4500
dense_qc_stable_ref30,random_label,50,0.65,0p6500
dense_qc_stable_ref30,random_label,52,0.12,0p1200
dense_qc_stable_ref30,random_label,52,0.15,0p1500
dense_qc_stable_ref30,random_label,52,0.2,0p2000
dense_qc_stable_ref30,random_label,52,0.3,0p3000
dense_qc_stable_ref30,random_label,52,0.45,0p4500
dense_qc_stable_ref30,random_label,52,0.65,0p6500
dense_qc_stable_ref30,random_label,53,0.12,0p1200
dense_qc_stable_ref30,random_label,53,0.15,0p1500
dense_qc_stable_ref30,random_label,53,0.2,0p2000
dense_qc_stable_ref30,random_label,53,0.3,0p3000
dense_qc_stable_ref30,random_label,53,0.45,0p4500
dense_qc_stable_ref30,random_label,53,0.65,0p6500
dense_qc_stable_ref30,random_label,55,0.12,0p1200
dense_qc_stable_ref30,random_label,55,0.15,0p1500
dense_qc_stable_ref30,random_label,55,0.2,0p2000
dense_qc_stable_ref30,random_label,55,0.3,0p3000
dense_qc_stable_ref30,random_label,55,0.45,0p4500
dense_qc_stable_ref30,random_label,55,0.65,0p6500
dense_qc_stable_ref30,random_label,56,0.12,0p1200
dense_qc_stable_ref30,random_label,56,0.15,0p1500
dense_qc_stable_ref30,random_label,56,0.2,0p2000
dense_qc_stable_ref30,random_label,56,0.3,0p3000
dense_qc_stable_ref30,random_label,56,0.45,0p4500
dense_qc_stable_ref30,random_label,56,0.65,0p6500
dense_qc_stable_ref30,random_label,58,0.12,0p1200
dense_qc_stable_ref30,random_label,58,0.15,0p1500
dense_qc_stable_ref30,random_label,58,0.2,0p2000
dense_qc_stable_ref30,random_label,58,0.3,0p3000
dense_qc_stable_ref30,random_label,58,0.45,0p4500
dense_qc_stable_ref30,random_label,58,0.65,0p6500
dense_qc_stable_ref30,random_label,59,0.12,0p1200
dense_qc_stable_ref30,random_label,59,0.15,0p1500
dense_qc_stable_ref30,random_label,59,0.2,0p2000
dense_qc_stable_ref30,random_label,59,0.3,0p3000
dense_qc_stable_ref30,random_label,59,0.45,0p4500
dense_qc_stable_ref30,random_label,59,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,1,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,1,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,1,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,1,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,1,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,1,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,3,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,3,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,3,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,3,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,3,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,3,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,4,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,4,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,4,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,4,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,4,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,4,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,6,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,6,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,6,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,6,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,6,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,6,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,7,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,7,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,7,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,7,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,7,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,7,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,8,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,8,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,8,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,8,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,8,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,8,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,9,0.12,0p1200
