N,M,dataset_id,ref_id,lambda_ref,reference_method,burn,thin,ref_norm,ref_norm_sq,min_margin,mean_margin,ce_ref,err_ref
40,4,0,0,1.0,weight_space_hit_and_run,5000,200,6.9203447467285635,47.89117141357363,0.39559586986679773,0.939192958734334,1.4537943304144907,0.0
40,4,0,1,1.0,weight_space_hit_and_run,5000,200,6.684542891954354,44.68311367437748,0.27021568039178623,0.8952968498861178,1.4818990010707127,0.0
40,4,0,2,1.0,weight_space_hit_and_run,5000,200,5.969890881330884,35.639597134997636,0.17980055185650853,0.8263680382220133,1.5422324709294555,0.0
40,4,0,3,1.0,weight_space_hit_and_run,5000,200,5.572095670588037,31.048250162185944,0.15003421150726615,0.6341338003605221,1.7561774555901377,0.0
40,4,0,4,1.0,weight_space_hit_and_run,5000,200,6.038546903423477,36.464048704845254,0.08118665147040051,0.8047889864276188,1.6293618542755777,0.0
40,4,0,5,1.0,weight_space_hit_and_run,5000,200,6.448879246906321,41.58804354117903,0.1726466742768076,0.8388213849444826,1.6305189593439102,0.0
40,4,0,6,1.0,weight_space_hit_and_run,5000,200,5.169329327016677,26.721965691154693,0.06049589683078688,0.23416426838623566,2.350629444224481,0.0
40,4,0,7,1.0,weight_space_hit_and_run,5000,200,6.979692363563074,48.71610548998069,0.042855364592998456,0.822787752602755,1.7074833960582412,0.0
40,4,0,8,1.0,weight_space_hit_and_run,5000,200,5.73434450618491,32.882706915613056,0.10732972883497656,0.6036472634057914,1.8678269317396383,0.0
40,4,0,9,1.0,weight_space_hit_and_run,5000,200,6.247554945160187,39.031942792795505,0.801519729138945,0.9275286501517791,1.3445648481306085,0.0
40,4,1,0,1.0,weight_space_hit_and_run,5000,200,5.883585283023288,34.61657578260823,0.08931053986448209,0.41831381418289126,2.0564832682836487,0.0
40,4,1,1,1.0,weight_space_hit_and_run,5000,200,6.307543307700325,39.78510257851515,0.5352574805257588,0.9610122355629024,1.3380108945934504,0.0
40,4,1,2,1.0,weight_space_hit_and_run,5000,200,8.053376523382019,64.85687342736065,0.15316094875621208,0.814013949799334,1.5633389300671967,0.0
40,4,1,3,1.0,weight_space_hit_and_run,5000,200,5.004888507406217,25.04890897156683,0.08956460455875317,0.41326554467387666,2.066228618627973,0.0
40,4,1,4,1.0,weight_space_hit_and_run,5000,200,6.25725832374195,39.15328173003792,0.40024276598186104,0.5754601817822579,1.7946183563290556,0.0
40,4,1,5,1.0,weight_space_hit_and_run,5000,200,6.6944500020268745,44.815660829637615,0.019900413707919427,0.8241895777740794,1.9531486594878955,0.0
40,4,1,6,1.0,weight_space_hit_and_run,5000,200,6.304328742528499,39.74456089387096,0.286525010749661,1.0246135567550674,1.402952993778626,0.0
40,4,1,7,1.0,weight_space_hit_and_run,5000,200,6.464590726569277,41.79093326204549,0.07408744831562836,0.6150661467945424,1.8731810056739404,0.0
40,4,1,8,1.0,weight_space_hit_and_run,5000,200,5.672166209217915,32.173469504993534,0.11915880118559706,0.9021555268964383,1.6016272518040973,0.0
40,4,1,9,1.0,weight_space_hit_and_run,5000,200,7.365585070797879,54.251843435160595,0.04052714518299397,0.5851440866846354,1.8928345240648923,0.0
40,4,2,0,1.0,weight_space_hit_and_run,5000,200,6.9572516525612995,48.40335055706693,0.01888271384961016,0.5226190165123353,1.9609510510548462,0.0
40,4,2,1,1.0,weight_space_hit_and_run,5000,200,6.449545693246924,41.59663964927995,0.5308234145285253,0.8585052089663502,1.4691669626993267,0.0
40,4,2,2,1.0,weight_space_hit_and_run,5000,200,7.848265149223294,61.595265852512924,0.5034441398294712,1.1769594959620662,1.1570878912156222,0.0
