rule,ref_id,radius,probe_label,replicate_idx,seed,n_samples,source_split_logZ_per_P_diff,source_logZ_inf_full,elapsed_s,finite,logZ_inf_full,phi_energy,split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,smc_step_count,smc_total_step_count,smc_mean_mh_acceptance
low_tv_spectral_teacher,1028,0.3,high_split,0,2027092800,1024,0.0055858294224825,-76.8874851457121,18.20728754997253,True,-78.64650937137327,-0.0319571350554137,0.0016565302447157,0.8045690604253788,0.0901209453783112,0.0357382884724765,48,96,0.57025146484375
low_tv_spectral_teacher,1028,0.3,high_split,1,2037092800,1024,0.0055858294224825,-76.8874851457121,17.89580535888672,True,-71.60456200255054,-0.029095718001849,0.0029329738461402,0.9725460258393944,0.0814516869661353,0.0336587923232829,49,95,0.590172697368421
low_tv_spectral_teacher,16,0.3,low_split,0,2026080800,1024,1.825048379504548e-05,-64.74746079949286,15.864260911941528,True,-55.81421520605512,-0.0226794860650366,0.0034464443348829,0.9037467464971076,0.0651650607036841,0.0259673085975173,41,82,0.6154487423780488
low_tv_spectral_teacher,16,0.3,low_split,1,2036080800,1024,1.825048379504548e-05,-64.74746079949286,16.1498441696167,True,-59.08334693529689,-0.0240078614121482,0.0016736501161437,0.956255015522178,0.0684795308960461,0.0269150623692088,41,81,0.6336564429012346
low_tv_spectral_teacher,52,1.0,high_split,0,2026123800,1024,0.010983757661275,-176.00349288488542,28.85501289367676,True,-195.10589037908483,-0.0792791102718751,0.0026695638878356,0.841509790978375,0.2565401874794135,0.1073795757760265,73,144,0.3591715494791667
low_tv_spectral_teacher,52,1.0,high_split,1,2036123800,1024,0.010983757661275,-176.00349288488542,26.003177404403687,True,-194.4041576513073,-0.0789939689765572,0.0110754831417739,0.7584785999911131,0.2962398327967427,0.1213585800259885,68,136,0.3748994715073529
low_tv_spectral_teacher,57,1.0,low_split,0,2026128800,1024,0.0001863214703676,-180.5852623361273,25.158571243286133,True,-186.4355092853803,-0.0757559972715889,0.0040442833142892,0.898047961452388,0.2701709138890852,0.1154791031818867,67,133,0.381843280075188
low_tv_spectral_teacher,57,1.0,low_split,1,2036128800,1024,0.0001863214703676,-180.5852623361273,25.241066694259644,True,-190.2658202199152,-0.0773124015521801,0.0047190252765446,0.8239109521408673,0.2703088148557292,0.117651833823393,70,135,0.377199074074074
low_tv_spectral_teacher,46,2.5,high_split,0,2026132800,1024,0.0270017035833214,-264.81299784366564,32.39009213447571,True,-296.0247655035619,-0.1202863736300536,0.0037068941466678,0.9849384535577576,0.425474455849088,0.1750731784990013,88,176,0.2729825106534091
low_tv_spectral_teacher,46,2.5,high_split,1,2036132800,1024,0.0270017035833214,-264.81299784366564,30.20363450050354,True,-283.36169495913987,-0.1151408756436976,0.0144472456845752,0.8840829755864043,0.432484767727738,0.1826754616791357,89,174,0.2745824353448275
low_tv_spectral_teacher,1014,2.5,low_split,0,2027100800,1024,4.598067004504386e-05,-285.5797161149856,33.942209243774414,True,-281.80228278046536,-0.1145072258352155,0.0046634654471871,0.6802377402811711,0.3906903140848896,0.1690775423242255,93,182,0.2654318337912087
low_tv_spectral_teacher,1014,2.5,low_split,1,2037100800,1024,4.598067004504386e-05,-285.5797161149856,31.319266080856323,True,-297.6891942593025,-0.1209626957575386,0.0059952447851832,0.7120990180985638,0.4406163236047422,0.1940754895987402,89,173,0.2740471459537572
random_label,36,0.3,high_split,0,2029100800,1024,0.0255170805388762,-335.3992543090848,34.14582681655884,True,-364.0390123941209,-0.1479232069866399,0.0017765174593513,0.7584051230433219,0.5056925997064513,0.1939054519238424,89,176,0.3767311789772727
random_label,36,0.3,high_split,1,2039100800,1024,0.0255170805388762,-335.3992543090848,34.42158508300781,True,-359.1510526046164,-0.1459370388478733,0.009019609309484,0.70764535678912,0.4876623620130082,0.1941262934435704,90,180,0.3684895833333333
