rule,radius,ref_count,phi_energy,phi_energy_sd,phi_energy_sem,phi_energy_q25,phi_energy_q50,phi_energy_q75,d_phi_energy_dd_mean,d_phi_energy_dd_sd,d2_phi_energy_dd2_mean,d2_phi_energy_dd2_sd,d_phi_energy_mean_curve_dd,d2_phi_energy_mean_curve_dd2
low_tv_spectral_teacher,0.1,90,-0.0055673374756276,0.0024841116874902,0.0002618483631571,-0.0078126808158238,-0.0062610424418532,-0.0030043857790451,-0.1195904183374596,0.0145419660251356,-0.0255359026785697,0.1094900790359463,-0.1195904183374596,-0.0255359026785696
low_tv_spectral_teacher,0.2,90,-0.0175263793093736,0.0036771096947509,0.0003876013947233,-0.0206338791180244,-0.0183575251434227,-0.0139813124923256,-0.1221440086053165,0.010081934608147,0.0309290822840004,0.0938122142097078,-0.1221440086053165,0.0309290822840004
low_tv_spectral_teacher,0.3,90,-0.0299961391966909,0.0039294484078024,0.0004142002305592,-0.0334139371296501,-0.0310120784456105,-0.0260629785193969,-0.1134046018806595,0.0097340588267756,0.1416321097118829,0.0949117131810377,-0.1134046018806595,0.1416321097118829
low_tv_spectral_teacher,0.4,90,-0.0402072996855055,0.0036885611002239,0.0003888084788468,-0.043163815011373,-0.0406647346918953,-0.0370393555970657,-0.0938175866629399,0.0118326372326766,0.1827829738136509,0.1046438198287468,-0.0938175866629399,0.1827829738136508
low_tv_spectral_teacher,0.5,90,-0.0487596565292789,0.0033451831516814,0.0003526132649911,-0.0511904695492892,-0.0495555909536402,-0.0458795784339884,-0.0768480071179293,0.0147425837217975,0.160713367797149,0.1140248550657392,-0.0768480071179293,0.160713367797149
low_tv_spectral_teacher,0.6,90,-0.0555769011090913,0.0035415828944402,0.000373315615624,-0.0578640786841692,-0.0555170006407702,-0.0529036879544218,-0.0616749131035101,0.0169565975599167,0.0826801280052339,0.1266456097879346,-0.0616749131035102,0.0826801280052337
low_tv_spectral_teacher,0.7,90,-0.061094639149981,0.0034395700291285,0.0003625625154566,-0.0639973107267769,-0.0612241714404211,-0.0586172829437373,-0.0603119815168825,0.016189812686569,0.0325656341477885,0.1646661711592931,-0.0603119815168826,0.0325656341477886
low_tv_spectral_teacher,0.8,90,-0.0676392974124679,0.0031734173920678,0.0003345075641775,-0.0703494927468163,-0.0677116086909438,-0.065326213199827,-0.0551617862739524,0.0196871094895669,0.0579469545750011,0.1604763352791191,-0.0551617862739524,0.0579469545750011
low_tv_spectral_teacher,0.9,90,-0.0721269964047715,0.003691962831814,0.0003891670528405,-0.074713766614072,-0.0721954746237573,-0.0691875498602525,-0.0487225906018823,0.0203227044476868,0.028894141352453,0.1718216701083417,-0.0487225906018823,0.0288941413524532
low_tv_spectral_teacher,1.0,90,-0.0773838155328443,0.0036502526643639,0.0003847704151496,-0.079514691411132,-0.077974108604986,-0.0749627492625788,-0.0493829580034618,0.0216837862877219,0.0352303327586124,0.1831611045264434,-0.0493829580034618,0.0352303327586127
low_tv_spectral_teacher,1.1,90,-0.0820035880054638,0.0034432811175259,0.000362953698521,-0.0843994718542413,-0.0823711709553536,-0.0797433671300742,-0.0416765240501598,0.0235562128863125,0.054047856870408,0.1983641907172944,-0.0416765240501598,0.054047856870408
low_tv_spectral_teacher,1.2,90,-0.0857191203428763,0.003989941688284,0.0004205767822078,-0.0883152999537525,-0.0861998378927812,-0.0837351250090038,-0.0385733866293802,0.0239058781096359,0.0181701085143286,0.2178285010129676,-0.0385733866293802,0.0181701085143285
