rule,ref_id,radius,probe_label,replicate_count,logZ_inf_full_mean,logZ_inf_full_sd,phi_energy_mean,phi_energy_sd,split_q50,split_q95,split_max,split_fail_rate,ess_min,elapsed_s_sum,source_split_logZ_per_P_diff,source_logZ_inf_full
low_tv_spectral_teacher,1028,0.3,high_split,2,-75.12553568696191,4.979408737253325,-0.0305264265286314,0.0020233274023784,0.0022947520454279,0.0028691516660689,0.0029329738461402,0.0,0.8045690604253788,36.10309290885925,0.0055858294224825,-76.8874851457121
low_tv_spectral_teacher,16,0.3,low_split,2,-57.448781070676006,2.3116252143389557,-0.0233436737385924,0.0009393032159036,0.0025600472255133,0.0033578046239459,0.0034464443348829,0.0,0.9037467464971076,32.01410508155823,1.825048379504548e-05,-64.74746079949286
low_tv_spectral_teacher,52,1.0,high_split,2,-194.75502401519608,0.4961999703920718,-0.0791365396242161,0.0002016253435156,0.0068725235148048,0.010655187179077,0.0110754831417739,0.5,0.7584785999911131,54.85819029808045,0.010983757661275,-176.00349288488542
low_tv_spectral_teacher,57,1.0,low_split,2,-188.35066475264776,2.708438835862615,-0.0765341994118845,0.0011005440210738,0.0043816542954169,0.0046852881784318,0.0047190252765446,1.0,0.8239109521408673,50.399637937545776,0.0001863214703676,-180.5852623361273
low_tv_spectral_teacher,46,2.5,high_split,2,-289.69323023135087,8.954143052604442,-0.1177136246368756,0.003638416518734,0.0090770699156215,0.0139102281076798,0.0144472456845752,0.5,0.8840829755864043,62.59372663497925,0.0270017035833214,-264.81299784366564
low_tv_spectral_teacher,1014,2.5,low_split,2,-289.745738519884,11.23374283879618,-0.117734960796377,0.0045647065578204,0.0053293551161851,0.0059286558182834,0.0059952447851832,1.0,0.6802377402811711,65.26147532463074,4.598067004504386e-05,-285.5797161149856
random_label,36,0.3,high_split,2,-361.5950324993686,3.456309513325756,-0.1469301229172566,0.0014044329594984,0.0053980633844177,0.0086574547169774,0.009019609309484,0.5,0.70764535678912,68.56741189956665,0.0255170805388762,-335.3992543090848
random_label,1018,0.3,low_split,2,-318.937237133278,15.24432368044754,-0.1295966018420471,0.0061943615117625,0.0058106872666558,0.0060023021791398,0.0060235927249713,1.0,0.6582106891788805,57.692508935928345,0.0001616161959673,-344.4591305484725
random_label,1011,1.0,high_split,2,-393.30387300129087,0.8155231127111867,-0.159814657863182,0.0003313787536412,0.0071894635657194,0.0100315036882669,0.0103472859241055,1.0,0.7483859775912499,54.06757235527039,0.0099170922645946,-390.1451029374869
random_label,39,1.0,low_split,2,-398.1073322254971,2.7874069434539344,-0.1617664901363255,0.0011326318339918,0.0027338852385309,0.0048977574965272,0.0051381877474157,0.5,0.6581837348392179,53.79700803756714,7.662312999537287e-05,-405.34034916301385
random_label,18,2.5,high_split,2,-438.9242584870252,1.0668643298493194,-0.1783519945091528,0.0004335084639778,0.0026124626499844,0.0031985543554191,0.003263675656023,0.0,0.8618935842327009,59.38222789764404,0.0146393586246915,-431.1805035844932
