rule,radius,ref_count,unit_count,unit_sampling_fit_pass_count,split_fail_count,split_fail_rate,finite_fail_count,ess_fail_count,split_q50,split_q90,split_q95,split_q99,split_max,ess_q05,ess_min,phi_energy_mean,phi_energy_sd,phi_energy_q25,phi_energy_q50,phi_energy_q75,pool_q95_split_pass,pool_fail_rate_le_0p05,probe_unit_count,mean_replicate_phi_sd,max_replicate_phi_sd,mean_split_q95,max_split_q95,mean_split_fail_rate,max_split_fail_rate
low_tv_spectral_teacher,0.3,90,90,87,3,0.0333333333333333,0,0,0.0013423186593502,0.0030651391638651,0.0034912977928745,0.0046662085692031,0.0055858294224825,0.6175493791333865,0.5563737460736552,-0.0299961391966909,0.0039294484078024,-0.0334139371296501,-0.0310120784456105,-0.0260629785193969,True,True,2,0.001481315309141,0.0020233274023784,0.0031134781450074,0.0033578046239459,0.0,0.0
low_tv_spectral_teacher,1.0,90,90,58,32,0.3555555555555555,0,0,0.0028611837765924,0.0075103808264341,0.0085676292353289,0.0108975257794709,0.010983757661275,0.5818770740945692,0.5369784377885519,-0.0773838155328443,0.0036502526643639,-0.079514691411132,-0.077974108604986,-0.0749627492625788,False,False,2,0.0006510846822947,0.0011005440210738,0.0076702376787544,0.010655187179077,0.75,1.0
low_tv_spectral_teacher,2.5,90,90,28,62,0.6888888888888889,0,0,0.0077633171244191,0.0172432252108681,0.0203651991637226,0.0243957992638883,0.0270017035833214,0.5789395402994638,0.5385040708853465,-0.1202491899884015,0.0051070867952823,-0.1234845893396488,-0.1203947854514583,-0.1175305905360945,False,False,2,0.0041015615382772,0.0045647065578204,0.0099194419629816,0.0139102281076798,0.75,1.0
random_label,0.3,90,90,31,59,0.6555555555555556,0,0,0.0065968933077122,0.013981914579701,0.0153187280696597,0.0201183728288992,0.0255170805388762,0.6350109524532991,0.5215328065094009,-0.1430017588242921,0.0093107695247193,-0.1493773303250036,-0.1415010979230037,-0.1359344976330767,False,False,2,0.0037993972356305,0.0061943615117625,0.0073298784480586,0.0086574547169774,0.75,1.0
random_label,1.0,90,90,74,16,0.1777777777777777,0,0,0.0018499330499748,0.0058378435092261,0.0069372850222894,0.0096333470995835,0.0099170922645946,0.6440293920362274,0.5508260824506602,-0.1607878038739638,0.0023027007546578,-0.1624394346876975,-0.1606539053471492,-0.1591547389742779,False,False,2,0.0007320052938165,0.0011326318339918,0.0074646305923971,0.0100315036882669,0.75,1.0
random_label,2.5,90,90,56,34,0.3777777777777777,0,0,0.002835163166022,0.0070380149461947,0.008522580066039,0.0119108023606842,0.0146393586246915,0.6151713877172065,0.5865507019582971,-0.1778087085739424,0.0025799193027045,-0.1797916365317893,-0.1778949617798814,-0.1757504977232508,False,False,2,0.0036171770216766,0.0068008455793754,0.0066056014336022,0.0100126485117853,0.25,0.5
real_even_odd,0.3,90,90,87,3,0.0333333333333333,0,0,0.0013709429637809,0.0029048313181799,0.0036986768970705,0.004743667160652,0.0048569688461121,0.5934412887790839,0.5328194990965871,-0.0260051065736426,0.0025196216614483,-0.027617246717307,-0.0257776071025383,-0.0241636539029371,True,True,2,0.0008102065406622,0.0008267337503172,0.0016682772401089,0.0023451025278344,0.0,0.0
real_even_odd,1.0,90,90,46,44,0.4888888888888889,0,0,0.0037671909044716,0.0087596766366361,0.0100645526411618,0.0126372593689939,0.0145139559817157,0.6173813617909502,0.5547597573048563,-0.0743701550563375,0.0037758259616107,-0.0765427660457906,-0.0742608894150004,-0.0721859551157752,False,False,2,0.0027033707587972,0.0034012470661273,0.003452805354004,0.0050165376745587,0.25,0.5
real_even_odd,2.5,90,90,40,50,0.5555555555555556,0,0,0.0051889739421343,0.0134420008187304,0.0169451424312659,0.0199282082063933,0.0236922523599258,0.6211270831719004,0.5369259157028932,-0.1200394433851958,0.0055789271522758,-0.1241576411992799,-0.1198355180834823,-0.1164068960011508,False,False,2,0.0031918569314689,0.0035154682141096,0.006979761829314,0.0114455334420015,0.25,0.5
teacher_nn,0.3,90,90,78,12,0.1333333333333333,0,0,0.0017094908193092,0.0043808670268773,0.0053064335933499,0.0066251051189171,0.008127618888717,0.5941702599805011,0.5167190587663504,-0.0425191152088217,0.0035850799865548,-0.045005905861746,-0.0435629748114268,-0.040391377451533,False,False,2,0.000594280182162,0.0006292708553547,0.0017093245383355,0.0020976438678105,0.0,0.0
teacher_nn,1.0,90,90,50,40,0.4444444444444444,0,0,0.0035505535594541,0.0095821488120704,0.010544669506265,0.0136538383895213,0.016154341358012,0.5853267950016423,0.5193481437433077,-0.104666538778125,0.0043601567509085,-0.1072515465376609,-0.1056137027385992,-0.1015815176362197,False,False,2,0.0030039443163784,0.0035898836784398,0.0041789714843665,0.006833128330125,0.25,0.5
teacher_nn,2.5,90,90,37,53,0.5888888888888889,0,0,0.0053320564805773,0.0130206401709163,0.016261668671997,0.0187063311753417,0.01984881787625,0.6283845596325497,0.5534432388571202,-0.1510676848912387,0.0043765004777926,-0.1543203600487371,-0.151182680027865,-0.1478353961485231,False,False,2,0.0025594547195252,0.0047915564992329,0.0023221849314106,0.0025592283244971,0.0,0.0
