noise_eta,eta,reference_count,theta_present_count,dataset_present_count,train_error_zero_count,train_error_max,test_error_mean,test_error_sd,test_error_sem,theta_norm_mean,theta_norm_sd,theta_norm_sem
noise_eta_0p02,0.02,30,30,30,30,0.0,0.1552734375,0.005361135213479427,0.0009788048967526513,14.586145034905485,0.7292764630037571,0.13314705648157987
noise_eta_0p05,0.05,30,30,30,30,0.0,0.18976236979166666,0.006814838288512636,0.0012442135521227565,16.003506245195673,0.881391353678546,0.16091930879991795
noise_eta_0p15,0.15,30,30,30,30,0.0,0.32062174479166666,0.011631773679479667,0.002123661609348627,17.46460493405925,0.8617438494478742,0.15733218171131202
noise_eta_0p25,0.25,30,30,30,30,0.0,0.417041015625,0.008206000865319642,0.001498203926947491,18.09927911374655,1.0104565564236103,0.18448328311073425
