noise_eta,eta,ref,source_ref_id,theta_present,dataset_present,train_error,test_error,theta_norm
noise_eta_0p02,0.02,ref_001,0,True,True,0.0,0.16357421875,13.94674549027261
noise_eta_0p02,0.02,ref_002,1,True,True,0.0,0.15283203125,13.939488398357684
noise_eta_0p02,0.02,ref_003,2,True,True,0.0,0.16259765625,14.502904116679192
noise_eta_0p02,0.02,ref_004,3,True,True,0.0,0.15283203125,15.041433313489906
noise_eta_0p02,0.02,ref_005,4,True,True,0.0,0.15576171875,15.656792951414406
noise_eta_0p02,0.02,ref_006,5,True,True,0.0,0.14794921875,14.362404114771753
noise_eta_0p02,0.02,ref_007,6,True,True,0.0,0.16259765625,13.895092028480647
noise_eta_0p02,0.02,ref_008,7,True,True,0.0,0.15380859375,14.305159258389564
noise_eta_0p02,0.02,ref_009,8,True,True,0.0,0.1533203125,14.563391583894782
noise_eta_0p02,0.02,ref_010,9,True,True,0.0,0.16357421875,16.054605327476725
noise_eta_0p02,0.02,ref_011,10,True,True,0.0,0.1552734375,13.498488622714197
noise_eta_0p02,0.02,ref_012,11,True,True,0.0,0.1494140625,13.69157021090552
noise_eta_0p02,0.02,ref_013,12,True,True,0.0,0.14697265625,15.21111850416174
noise_eta_0p02,0.02,ref_014,13,True,True,0.0,0.1591796875,14.943337572842273
noise_eta_0p02,0.02,ref_015,14,True,True,0.0,0.15869140625,15.41612416336009
noise_eta_0p02,0.02,ref_016,15,True,True,0.0,0.16552734375,13.213063637569023
noise_eta_0p02,0.02,ref_017,16,True,True,0.0,0.14990234375,15.155038815559523
noise_eta_0p02,0.02,ref_018,17,True,True,0.0,0.15283203125,14.38328039300819
noise_eta_0p02,0.02,ref_019,18,True,True,0.0,0.14892578125,15.01790623804628
noise_eta_0p02,0.02,ref_020,19,True,True,0.0,0.1552734375,14.91847570571842
noise_eta_0p02,0.02,ref_021,20,True,True,0.0,0.15771484375,14.747087153662264
noise_eta_0p02,0.02,ref_022,21,True,True,0.0,0.1533203125,13.355612338774652
noise_eta_0p02,0.02,ref_023,22,True,True,0.0,0.15478515625,14.5320325351836
noise_eta_0p02,0.02,ref_024,23,True,True,0.0,0.14453125,14.888870563569096
noise_eta_0p02,0.02,ref_025,24,True,True,0.0,0.1572265625,15.02532791575679
noise_eta_0p02,0.02,ref_026,25,True,True,0.0,0.15869140625,13.74743418488527
noise_eta_0p02,0.02,ref_027,26,True,True,0.0,0.154296875,14.186329682727356
noise_eta_0p02,0.02,ref_028,27,True,True,0.0,0.150390625,14.418416956006842
noise_eta_0p02,0.02,ref_029,28,True,True,0.0,0.16162109375,15.03282470942866
noise_eta_0p02,0.02,ref_030,29,True,True,0.0,0.15478515625,15.933994560057478
noise_eta_0p05,0.05,ref_001,0,True,True,0.0,0.19287109375,14.183469327050052
noise_eta_0p05,0.05,ref_002,1,True,True,0.0,0.193359375,14.839118091681934
noise_eta_0p05,0.05,ref_003,2,True,True,0.0,0.181640625,15.331419298943509
noise_eta_0p05,0.05,ref_004,3,True,True,0.0,0.18505859375,15.884377123801004
noise_eta_0p05,0.05,ref_005,4,True,True,0.0,0.18994140625,16.78893795076968
