experiment_id,mode,split_id,rule,dataset_path,n_train,n_test,input_dim,train_pos_fraction
mnist14_3rule_1024,final,0,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,0,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,0,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,1,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_001/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,1,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_001/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,1,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_001/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,2,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_002/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,2,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_002/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,2,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_002/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,3,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,3,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,3,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,4,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,4,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,4,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,5,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,5,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,5,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,6,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,6,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,6,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,7,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,7,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,7,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,8,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_008/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,8,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_008/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,8,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_008/random_label/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,9,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_009/real_even_odd/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,9,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_009/teacher_nn/dataset.npz,1024,2048,196,0.5
mnist14_3rule_1024,final,9,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_009/random_label/dataset.npz,1024,2048,196,0.5
