beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.14,0.04,True,True,True,True,True,True,True,True,pass,100,100,102298.02499803236,25600.0,0.9978409313564709,0.2,2.5167716068902082e-06,0.004,8.732348845970974e-07,0.012,0.995548767713394,0.6,1.0,120.0
0.14,0.05,True,True,True,True,True,True,True,True,pass,100,100,102189.54094926258,25600.0,0.9955310400690798,0.2,4.467870908320803e-06,0.004,1.4662886804284024e-06,0.012,0.9917934235444624,0.6,1.0,120.0
0.14,0.06,True,True,True,True,True,True,True,True,pass,100,100,102025.5450047187,25600.0,0.991910911685612,0.2,4.517777869870783e-06,0.004,2.1935753174820166e-06,0.012,0.9862758931855489,0.6,1.0,120.0
0.14,0.07,True,True,True,True,True,True,True,True,pass,100,100,101805.46953642512,25600.0,0.9879165942138809,0.2,8.421587272217734e-06,0.004,3.1977158892396733e-06,0.012,0.9796551896578933,0.6,1.0,120.0
0.14,0.08,True,True,True,True,True,True,True,True,pass,100,100,101536.87089889904,25600.0,0.9811130311998549,0.2,6.973857594836654e-06,0.004,4.153516038236496e-06,0.012,0.9723067311543956,0.6,1.0,120.0
0.14,0.09,True,True,True,True,True,True,True,True,pass,100,100,101230.31839214395,25600.0,0.975885337473011,0.2,8.286640810372374e-06,0.004,5.018195817227102e-06,0.012,0.9618492440696318,0.6,1.0,120.0
0.14,0.1,True,True,True,True,True,True,True,True,pass,100,100,100877.5617955606,25600.0,0.9675015482204978,0.2,7.727496545449186e-06,0.004,5.639550822566635e-06,0.012,0.9538354347503375,0.6,1.0,120.0
0.18,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.76558662852,25600.0,0.9999929396773537,0.2,1.6151170895672472e-07,0.004,2.654931022023081e-07,0.012,0.999953057895087,0.6,1.0,120.0
0.18,0.02,True,True,True,True,True,True,True,True,pass,100,100,102396.8174387446,25600.0,0.9998835854108542,0.2,5.05409086281615e-07,0.004,2.8300334672795615e-07,0.012,0.9997038372748739,0.6,1.0,120.0
0.18,0.03,True,True,True,True,True,True,True,True,pass,100,100,102386.02962053541,25600.0,0.9995747861643656,0.2,1.1243652854504802e-06,0.004,3.5536664071646104e-07,0.012,0.9991701120965345,0.6,1.0,120.0
