rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,n_units,ref_count,target_ref_count,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_unit_mean,delta_phi_energy_unit_sd,delta_phi_energy_unit_sem,delta_phi_full_unit_mean,delta_phi_full_unit_sd,delta_phi_full_unit_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sd,d_phi_energy_raw_dd_sem,d_delta_phi_energy_unit_dd_mean,d_delta_phi_energy_unit_dd_sd,d_delta_phi_energy_unit_dd_sem,d_delta_phi_full_unit_dd_mean,d_delta_phi_full_unit_dd_sd,d_delta_phi_full_unit_dd_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sd,d_phi_energy_direct_dd_unit_sem,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sd,d_delta_phi_energy_direct_dd_unit_sem,logZ_inf_full_mean,logZ_inf_full_sd,logZ_inf_full_sem,dlogZ_inf_full_dr_mean,dlogZ_inf_full_dr_sd,dlogZ_inf_full_dr_sem,split_logZ_per_P_diff_mean,split_logZ_per_P_diff_sd,split_logZ_per_P_diff_sem,split_dlogZ_dr_per_P_diff_mean,split_dlogZ_dr_per_P_diff_sd,split_dlogZ_dr_per_P_diff_sem,ess_fraction_mean,ess_fraction_sd,ess_fraction_sem,smc_min_cess_fraction_mean,smc_min_cess_fraction_sd,smc_min_cess_fraction_sem,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,smc_completed_count,finite_unit_count,sampling_status,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.01,r_0p0100,30,30,30,-0.0009585889851335401,0.00034299634322048175,6.262227810788066e-05,0.0035236295118993106,0.0004926091742860612,8.993771893015653e-05,-2.298125833619085,0.0004926091742861216,8.993771893016756e-05,-0.007867268482614476,0.0018909977487721495,0.00034524737439799776,-0.007867268482614462,0.0018909977487721503,0.0003452473743979979,69.2786855221499,0.0018909977487726925,0.0003452473743980969,-0.00501040659545597,0.0011894264681971201,0.0002171585690417546,-0.00501040659545597,0.0011894264681971201,0.0002171585690417546,-2.3590874924137655,0.8441140006655984,0.15411342642349302,-12.330610631417237,2.927178538233105,0.5344272384117567,1.5291049895808745e-06,1.2560458660645323e-06,2.29321551368219e-07,0.0001744780023274426,0.00013664340816913655,2.494755899620726e-05,0.9950476419584788,0.0022533154873202723,0.0004113972405270198,0.9948969878521746,0.002338645066764954,0.00042697621902178023,3.7607917940246962e-06,5.2475984481636805e-06,0.00045654576284233497,0.000507220421516,0.9918022690080551,0.9914498845436844,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.02,r_0p0200,30,30,30,-0.0010372616699596835,0.0003580998701606554,6.53797922422207e-05,0.0034449568270731633,0.00047452997997217926,8.663692474774576e-05,-1.6053389783975862,0.00047452997997219926,8.66369247477494e-05,-0.011228645638454745,0.002577871700843422,0.0004706528269687172,-0.01122864563845473,0.002577871700843411,0.00047065282696871514,54.897065343056184,0.002577871700845778,0.0004706528269691473,-0.01098152698323158,0.002505388855045804,0.0004574193304102092,-0.01098152698323158,0.002505388855045804,0.0004574193304102092,-2.5527009697709095,0.8812837804653768,0.16089966870810585,-27.025537905733035,6.165761972267725,1.125708972139525,3.244997045489517e-06,2.7652734025190346e-06,5.048675400762461e-07,0.00023599758721849792,0.00022080594135808238,4.031346497099487e-05,0.9726805581894219,0.010000254951005247,0.0018257884058227646,0.9718523181366046,0.009811450168293804,0.0017913175263374582,8.719138889232181e-06,1.0521092449193776e-05,0.0006694968455017799,0.0009211817282156,0.9563053898023721,0.9549874643323992,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.03,r_0p0300,30,30,30,-0.0011831618979026366,0.00038376149416171625,7.00649423514197e-05,0.0032990565991302128,0.00044421578982110487,8.11023361616643e-05,-1.2001845267579614,0.00044421578982110286,8.110233616166393e-05,-0.018667182491239283,0.003894169264836758,0.0007109747830314672,-0.018667182491239265,0.0038941692648367574,0.0007109747830314671,34.62460921282501,0.0038941692648367127,0.000710974783031459,-0.018427466949234757,0.0039054922264723357,0.0007130420635333243,-0.018427466949234757,0.0039054922264723357,0.0007130420635333243,-2.91176143073851,0.9444370371319596,0.17242982312683947,-45.34999616206684,9.61141636934841,1.7547965183555096,7.6161009541058805e-06,6.2251901283569624e-06,1.1365590193531962e-06,0.0004809349575819585,0.00034536720712304047,6.305513665461605e-05,0.9096175494221843,0.02945319372780577,0.0053773928650962975,0.9505280126203862,0.00289204416313443,0.0005280126084832926,1.89012264502397e-05,2.3547772528800906e-05,0.00111945478328615,0.0012648613939683,0.8527028644142443,0.9500000000004585,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.04,r_0p0400,30,30,30,-0.0014106053197844766,0.00042094348062103886,7.685341325696057e-05,0.003071613177248377,0.00040076443559646093,7.316924054066934e-05,-0.9128467941410862,0.00040076443559645643,7.316924054066851e-05,-0.027125749084164697,0.004933114994925521,0.0009006594538292303,-0.027125749084164683,0.004933114994925525,0.0009006594538292311,25.50377702345417,0.004933114994925733,0.0009006594538292689,-0.027116517006448345,0.005227515851031129,0.0009544094504418549,-0.027116517006448345,0.005227515851031129,0.0009544094504418549,-3.4714996919897088,1.0359419058083896,0.18913625002538234,-66.73374835286948,12.864916509387596,2.3488016575374027,9.345140902332366e-06,7.332239124055826e-06,1.338677588422432e-06,0.0006884402882198703,0.0005926452250869815,0.00010820171945928879,0.7858843016357593,0.05074869184821923,0.009265401096382736,0.9500000000091392,6.339038352708721e-12,1.1573447662229852e-12,2.000780882979242e-05,2.7835749820011044e-05,0.0019252611187009741,0.002168329597783,0.6877251893819423,0.9500000000010765,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.05,r_0p0500,30,30,30,-0.00172567687958592,0.00046478034084926914,8.485689232269484e-05,0.002756541617446913,0.00035027263652242255,6.395074143337957e-05,-0.690108986288878,0.00035027263652242103,6.39507414333793e-05,-0.036028854812856156,0.006129013366534564,0.00111899962536722,-0.03602885481285615,0.006129013366534556,0.0011189996253672184,20.228988738565537,0.006129013366533134,0.0011189996253669586,-0.03605863741500926,0.006008929689085008,0.001097075445724788,-0.03605863741500926,0.006008929689085008,0.001097075445724788,-4.2468908006611,1.143824418830069,0.20883281200615522,-88.74030667833792,14.78797596483818,2.6999026719286983,1.1755958840289536e-05,7.713834571382495e-06,1.4083470665364624e-06,0.0010258744260488832,0.0007322529691553489,0.00013369048966883974,0.6458364703107672,0.08500761449317294,0.015520196005871303,0.9500000000069924,4.948051740429941e-12,9.033865179787251e-13,2.5602481881922233e-05,3.888784293573498e-05,0.0025224515540793577,0.0028706236229676,0.5647321576603226,0.9500000000018056,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.06,r_0p0600,30,30,30,-0.002131182416041603,0.0005251696289080185,9.588241742317963e-05,0.0023510360809912497,0.0002858534675729938,5.218946411026674e-05,-0.5082670193697756,0.0002858534675729946,5.218946411026689e-05,-0.044577950890170144,0.0067047401724852265,0.0012241124782270789,-0.04457795089017016,0.006704740172485227,0.001224112478227079,16.772197792469928,0.006704740172484751,0.0012241124782269922,-0.04472069141828092,0.00674145981686014,0.0012308165374029815,-0.04472069141828092,0.00674145981686014,0.0012308165374029815,-5.244839925878491,1.2924424567426454,0.23596662927844725,-110.05762158038947,16.590732609292825,3.0290394985487414,2.5329341729149417e-05,1.9397635503780284e-05,3.5415075092278492e-06,0.0012363422004931222,0.0009685895878679684,0.00017683945541330617,0.9409839400992435,0.13772071742135097,0.02514424785582288,0.9500000000057658,4.387865668047372e-12,8.011110018973403e-13,6.347321381081642e-05,7.354645768348079e-05,0.0030301024529059877,0.0041051076727389,0.5561326701894576,0.950000000000639,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.07,r_0p0700,30,30,30,-0.0026172358973893272,0.0005826060207633551,0.00010636881990347092,0.0018649825996435068,0.00022527944221137027,4.113021074711633e-05,-0.35466503043947933,0.00022527944221136358,4.113021074711511e-05,-0.05182874891477722,0.007088862299318916,0.0012942432627949696,-0.0518287489147772,0.007088862299318919,0.0012942432627949703,14.326430053023069,0.007088862299319094,0.0012942432627950022,-0.05256247649873106,0.006813766367322321,0.0012440178469841556,-0.05256247649873106,0.006813766367322321,0.0012440178469841556,-6.441017543475277,1.4337934170985829,0.2617736657824357,-129.35625466337726,16.768679029980255,3.061527921428011,4.7870331116809394e-05,2.9828689885994343e-05,5.445948770461768e-06,0.0018921944209631734,0.0013599269592308907,0.0002482875573767224,0.8552568738615783,0.09149773775975259,0.01670512497723623,0.9500000000055687,4.052195287124279e-12,7.398262553913637e-13,0.00010533713115711896,0.0001119815280462,0.003988639680176885,0.0059898481943656,0.6965743180511037,0.9500000000002832,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.08,r_0p0800,30,30,30,-0.0031677573943371434,0.0006454712953981187,0.00011784639623721004,0.0013144611026957133,0.00016672169409567454,3.0439077560558935e-05,-0.22173841830931412,0.00016672169409566266,3.043907756055677e-05,-0.059730118334179724,0.007676735020028511,0.0014015736461531628,-0.059730118334179724,0.007676735020028514,0.0014015736461531635,12.500885354462017,0.00767673502002805,0.0014015736461530787,-0.0595587757515492,0.007356714770060529,0.0013431462095645275,-0.0595587757515492,0.007356714770060529,0.0013431462095645275,-7.795850947463825,1.5885048579747487,0.29001998113977,-146.57414712456267,18.104875049118956,3.3054828217383014,4.261198684562252e-05,3.085182368420624e-05,5.632746590670633e-06,0.0020678987809356485,0.001808651615743408,0.0003302130962036101,0.722356851591533,0.13566205727334363,0.024768389655389366,0.9500000000042399,2.6917875385341228e-12,4.914509182888152e-13,9.025629108019883e-05,0.0001356639887464,0.006032803238923299,0.0069099811627025,0.5545760206531347,0.9500000000004466,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.09,r_0p0900,30,30,30,-0.00381183826407293,0.00072127862630394,0.000131686857957669,0.0006703802329599165,9.828697331131916e-05,1.794466413050591e-05,-0.10464732335023905,9.828697331131893e-05,1.794466413050587e-05,-0.06572305513478777,0.008336084704783508,0.0015219538780279068,-0.0657230551347878,0.008336084704783477,0.0015219538780279012,11.086920915465704,0.008336084704783283,0.0015219538780278656,-0.06579858893319512,0.007096805531660588,0.0012956934919726491,-0.06579858893319512,0.007096805531660588,0.0012956934919726491,-9.380933967883603,1.7750666993340005,0.32408135743382416,-161.93032736459335,17.465238413416692,3.1887016837446867,8.870369806500365e-05,8.185992575715796e-05,1.4945509297631193e-05,0.003780161100824954,0.0034006546843024913,0.0006208717602926946,0.9177490779579264,0.12259259752169911,0.022382243681928843,0.9500000000035019,4.013090837784111e-12,7.326867923905544e-13,0.00022937201599754984,0.0003818262202496,0.007965732285992901,0.0171322025096612,0.6767655390440596,0.9500000000003223,30,30,complete,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.1,r_0p1000,30,30,30,-0.004482218497032894,0.0007837800025536933,0.0001430979958400382,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031894327181261,0.01004749463085894,0.0018344131519111612,-0.0703189432718126,0.010047494630858928,0.001834413151911159,9.959138814487062,0.01004749463085946,0.0018344131519112562,-0.07098976803578515,0.007773737462701447,0.0014192837881481857,-0.07098976803578515,0.007773737462701447,0.0014192837881481857,-11.030739721198087,1.9288825862846262,0.35216416776233156,-174.70581913606733,19.131167895708256,3.4928574026326844,9.98428784884649e-05,7.547348348094681e-05,1.3779509798669364e-05,0.0039309083669626065,0.0029789443886746028,0.0005438783464101724,0.830976759973907,0.11011508158017745,0.0201041713676616,0.9500000000046189,3.983813732694685e-12,7.27341548765245e-13,0.00022375240661792991,0.0002933449833527,0.008749745161787767,0.0118603168086455,0.6849305591515307,0.9500000000004758,30,30,complete,pass
