rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_refs,dphi_dr_mean,dphi_dr_sem,dphi_dr_smooth_mean,dphi_dr_smooth_sem,positive_curvature_mean,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.01,30,-0.00501040659545597,0.0002171585690417546,-0.00501040659545597,0.0002171585690417546,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.02,30,-0.01098152698323158,0.0004574193304102092,-0.01098152698323158,0.0004574193304102092,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.03,30,-0.018427466949234753,0.0007130420635333243,-0.018427466949234753,0.0007130420635333243,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.04,30,-0.02711651700644835,0.0009544094504418549,-0.02711651700644835,0.0009544094504418549,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.05,30,-0.03605863741500927,0.001097075445724788,-0.03605863741500927,0.001097075445724788,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.06,30,-0.044720691418280924,0.0012308165374029815,-0.044720691418280924,0.0012308165374029815,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.07,30,-0.05256247649873107,0.0012440178469841556,-0.05256247649873107,0.0012440178469841556,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.08,30,-0.05955877575154919,0.0013431462095645275,-0.05955877575154919,0.0013431462095645275,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.09,30,-0.06579858893319514,0.0012956934919726491,-0.06579858893319514,0.0012956934919726491,0.0,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.1,30,-0.07098976803578513,0.0014192837881481857,-0.07098976803578513,0.0014192837881481857,0.014183738110599158,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.11,30,-0.07535249026743181,0.0014381171587892505,-0.07535249026743181,0.0014381171587892505,0.035000463280183025,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.12,30,-0.0790389673757274,0.0011965512412521677,-0.0790389673757274,0.0011965512412521677,0.009500032933123181,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.13,30,-0.0820108694924083,0.001302767286298586,-0.0820108694924083,0.001302767286298586,0.015060696871471654,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.14,30,-0.08413624101366014,0.0014472250042088502,-0.08413624101366014,0.0014472250042088502,0.032400565370763405,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.15,30,-0.08681535119054942,0.0009974523993158213,-0.08681535119054942,0.0009974523993158213,0.09978941010541602,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.16,30,-0.08537993156444366,0.0013263678008461701,-0.08537993156444366,0.0013263678008461701,0.06696480691705262,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.17,30,-0.08792115366327688,0.001057282059707863,-0.08792115366327688,0.001057282059707863,0.08215146161429439,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.18,30,-0.08739056349218992,0.001347728160341173,-0.08739056349218992,0.001347728160341173,0.15122896334998198,sampling_time_direct_radial_score_derivative
