pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,n_refs,A_kappa_mean,A_kappa_sd,A_kappa_sem,derivative_source
pair_7_9,7/9,1,1,0.10546875,30,0.1555165930117291,0.01713831993317863,0.0031290148083807892,sampling_time_direct_radial_score_derivative
pair_3_8,3/8,2,5,0.08984375,30,0.11832029043542261,0.015053935443521935,0.0027484600072145006,sampling_time_direct_radial_score_derivative
pair_8_9,8/9,3,9,0.0423177083333333,30,0.07743238673254389,0.008903791979810638,0.001625602571558623,sampling_time_direct_radial_score_derivative
pair_4_5,4/5,4,13,0.0338541666666666,30,0.07083643110666953,0.008683259822273645,0.0015853390924458583,sampling_time_direct_radial_score_derivative
pair_3_9,3/9,5,17,0.029296875,30,0.05998915069924185,0.009780380876668705,0.0017856450757145338,sampling_time_direct_radial_score_derivative
pair_0_2,0/2,6,21,0.0247395833333333,30,0.05273947018378163,0.006846358426398195,0.0012499683156346213,sampling_time_direct_radial_score_derivative
pair_1_4,1/4,7,25,0.0221354166666666,30,0.04117960138880214,0.006548463488279982,0.0011955803898433042,sampling_time_direct_radial_score_derivative
pair_5_7,5/7,8,29,0.0188802083333333,30,0.05082584361938663,0.0059564447919143535,0.0010874930583552188,sampling_time_direct_radial_score_derivative
pair_1_5,1/5,9,33,0.015625,30,0.04802998755492303,0.005854947109834081,0.0010689622016852678,sampling_time_direct_radial_score_derivative
pair_3_6,3/6,10,37,0.0123697916666666,30,0.038213654249362176,0.004833648290382038,0.0008824994012295079,sampling_time_direct_radial_score_derivative
pair_0_4,0/4,11,41,0.0084635416666666,30,0.03573537521316143,0.004305010879629971,0.0007859838563594975,sampling_time_direct_radial_score_derivative
pair_6_7,6/7,12,45,0.00390625,30,0.022955382847723468,0.002775997357881141,0.0005068254574954142,sampling_time_direct_radial_score_derivative
