beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.06,0.1,100,-1.0150349469730906,-4.169038173549503,0.337668980555158,1.0670113154208962,-0.0003988349496947311,-0.00163812894834951,-3.1540032265764113,16053.876423273936,98426.34368197258,0.9164287443696089,1.1320752429586346e-05,1.3810757712873915e-05,0.14724780338046523,0.8527521966195347,0.31424258622767853,0.903044842220601,1.0,1.0,0.987890625,pass
0.06,0.2,100,-2.711060477203527,-5.865063703779939,0.8372058821099883,1.5091795922972937,-0.0010652496963471619,-0.0023045436950019406,-3.1540032265764113,16053.876423273936,90523.35127086987,0.7736072126871657,2.3800589264795324e-05,3.210937073896585e-05,0.2636519078968072,0.7363480921031927,0.828175230805537,0.7500000000019619,2.0,1.11,0.9714794921875,pass
0.06,0.3,100,-4.209903223796626,-7.363906450373037,1.2847452865657258,1.930169246186775,-0.001654185942552702,-0.00289347994120748,-3.1540032265764113,16053.876423273936,92978.24722836405,0.7691218678777093,3.726369457520994e-05,4.9176387713220014e-05,0.33132435931727683,0.6686756406827231,1.2607824863033876,0.7500000000007069,2.0,1.5,0.9587125651041666,pass
0.06,0.4,100,-5.476715459276019,-8.630718685852433,1.656629603171895,2.2903521002849483,-0.002151951064548534,-0.0033912450632033134,-3.1540032265764113,16053.876423273936,97411.74865549873,0.7868651773620713,7.30360825483176e-05,6.634015038470524e-05,0.3730549752613301,0.6269450247386699,1.599233384371102,0.7500000000013757,3.0,1.8,0.9498795572916666,pass
0.06,0.5,100,-6.5386598374590115,-9.692663064035425,1.9654553722016899,2.5956318563087177,-0.0025692180107893953,-0.003808512009444175,-3.1540032265764113,16053.876423273936,100520.5075063944,0.7921821692883559,9.459771712016744e-05,7.571494297318348e-05,0.4001273882284343,0.5998726117715657,1.8532493728590103,0.7500000000010932,3.0,2.1,0.9395104166666667,pass
0.06,0.6,100,-7.470100706312993,-10.624103932889405,2.234455046290538,2.863417357713679,-0.0029352065643665987,-0.004174500563021377,-3.1540032265764113,16053.876423273936,101063.21238105407,0.9284985276744065,9.609720732800689e-05,8.772984477185715e-05,0.4188498581116044,0.5811501418883956,2.0505630298770345,0.75000000000017,3.0,2.28,0.9297955729166667,pass
0.06,0.7,100,-8.285427105500672,-11.439430332077084,2.4559677231637735,3.085608190408744,-0.0032555705719059616,-0.0044948645705607405,-3.1540032265764113,16053.876423273936,99760.02831034276,0.8786984387200696,0.00010426181428106801,9.397054056998462e-05,0.4322662244829295,0.5677337755170704,2.1933705847951814,0.750000000000154,4.0,2.51,0.9205640578497024,pass
0.06,0.8,100,-9.004254254787098,-12.158257481363508,2.647173199274335,3.277366077491868,-0.0035380173889143804,-0.004777311387569158,-3.1540032265764113,16053.876423273936,97839.92003193827,0.7932816445074168,0.00016410283125969878,0.00010656968331585456,0.44206362675462446,0.5579363732453756,2.2942521555877047,0.750000000000106,4.0,2.67,0.9123807663690475,pass
0.06,0.9,100,-9.65173055049831,-12.805733777074723,2.7984226350580492,3.431126701853641,-0.0037924285070720276,-0.0050317225057268065,-3.1540032265764113,16053.876423273936,97931.30662449883,0.8450614978527995,0.00018296107155525165,0.00011570324609987376,0.44924963314691063,0.5507503668530894,2.356298854472834,0.7500000000007002,4.0,2.9,0.9031432524181549,pass
0.06,1.0,100,-10.24910034525528,-13.403103571831693,2.9300675655297495,3.5655299686748863,-0.004027151412673981,-0.005266445411328759,-3.1540032265764113,16053.876423273936,97291.99313832281,0.7994657446876142,0.0001875770363514951,0.00011424993063749283,0.4550511991616002,0.5449488008383998,2.3951041936530086,0.7500000000000354,4.0,3.08,0.8944085286458333,pass
