q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.9,0.1,0.1,1.0,1.0,0.9612334547347682,0,
0.99,0.1,0.1,2.0,2.0,1.0,0,
0.5,0.1,0.2,2.0,2.0,0.9032872303357147,0,
0.9,0.1,0.2,2.0,2.0,0.9032872303357147,0,
0.99,0.1,0.2,2.0,2.0,0.9992163587190126,0,
0.5,0.1,0.3,2.0,2.0,0.9073184143541281,0,
0.9,0.1,0.3,2.0,2.0,0.9073184143541281,0,
0.99,0.1,0.3,4.0,4.0,1.0,0,
0.5,0.1,0.4,4.0,4.0,1.0,0,
0.9,0.1,0.4,4.0,4.0,1.0,0,
0.99,0.1,0.4,4.0,4.0,1.0,0,
0.5,0.1,0.5,4.0,4.0,1.0,0,
0.9,0.1,0.5,4.0,4.0,1.0,0,
0.99,0.1,0.5,4.0,4.0,1.0,0,
0.5,0.1,0.6,4.0,4.0,0.9980468750000001,0,
0.9,0.1,0.6,4.0,4.0,0.9980468750000001,0,
0.99,0.1,0.6,4.0,4.0,0.9980468750000001,0,
0.5,0.1,0.7,4.0,4.0,0.9960937499999998,0,
0.9,0.1,0.7,4.0,4.0,0.9960937499999998,0,
0.99,0.1,0.7,4.0,4.0,0.9960937499999998,0,
0.5,0.1,0.8,4.0,4.0,0.9806266909463769,0,
0.9,0.1,0.8,4.0,4.0,0.9806266909463769,0,
0.99,0.1,0.8,4.0,4.0,0.9960937499999998,0,
0.5,0.1,0.9,4.0,4.0,0.9688349615719732,0,
0.9,0.1,0.9,4.0,4.0,0.9688349615719732,0,
0.99,0.1,0.9,4.0,4.0,0.9902240353313969,0,
0.5,0.1,1.0,4.0,4.0,0.9479259019570653,0,
0.9,0.1,1.0,4.0,4.0,0.9479259019570653,0,
0.99,0.1,1.0,4.0,4.0,0.9901247997922205,0,
0.5,0.1,1.1,4.0,4.0,0.9116765447155043,0,
0.9,0.1,1.1,4.0,4.0,0.9116765447155043,0,
0.99,0.1,1.1,4.0,4.0,0.9980468750000001,0,
0.5,0.1,1.2,4.0,4.0,0.8659925194646844,0,
0.9,0.1,1.2,4.0,4.0,0.9462976455593344,0,
0.99,0.1,1.2,4.0,4.0,0.9970703124999998,0,
0.5,0.1,1.3,4.0,4.0,0.8231540776519151,0,
0.9,0.1,1.3,4.0,4.0,0.9279885565321877,0,
0.99,0.1,1.3,4.0,4.0,0.9900630223586543,0,
