run,beta,radius,dataset_count,dphi_full_dr,dphi_full_dr_sem,dphi_energy_dr,dphi_energy_dr_sem,dphi_entropic_dr
30 dataset,0.05,0.01,30,99.95961390055677,6.416774652634427e-05,-0.0010933685984317674,6.416774652634427e-05,99.96070726915521
30 dataset,0.05,0.02,30,49.977120989580335,0.0001244725345240369,-0.0032326449972671155,0.0001244725345240369,49.980353634577604
30 dataset,0.05,0.03,30,33.315011133285395,0.00015665621586846468,-0.005224623099677816,0.00015665621586846468,33.320235756385074
30 dataset,0.05,0.04,30,24.9833776355201,0.00017014157132272647,-0.006799181768703116,0.00017014157132272647,24.990176817288802
30 dataset,0.05,0.05,30,19.984154386801965,0.00017533031776955897,-0.00798706702907732,0.00017533031776955897,19.992141453831042
30 dataset,0.05,0.06,30,16.651256455079416,0.00017580555746667207,-0.008861423113122567,0.00017580555746667207,16.660117878192537
30 dataset,0.05,0.07,30,14.270599505231832,0.0001751511472702463,-0.009501533218911628,0.0001751511472702463,14.280101038450743
30 dataset,0.05,0.08,30,12.485131781355491,0.00017299251593393724,-0.009956627288909222,0.00017299251593393724,12.495088408644401
30 dataset,0.05,0.09,30,11.096477252530926,0.00017007762288295713,-0.01026799959743196,0.00017007762288295713,11.106745252128357
30 dataset,0.05,0.1,30,9.985597198913222,0.0001676373110291217,-0.01047352800229977,0.0001676373110291217,9.996070726915521
30 dataset,0.05,0.11,30,9.076735983366445,0.00016538829792480167,-0.010601041102210067,0.00016538829792480167,9.087337024468656
30 dataset,0.05,0.12,30,8.319401654407814,0.00016241361954793637,-0.010657284688454581,0.00016241361954793637,8.330058939096268
30 dataset,0.05,0.13,30,7.678616272416472,0.0001607780244484427,-0.010668902133927854,0.0001607780244484427,7.6892851745504
30 dataset,0.05,0.14,30,7.129413107705522,0.00015744671435340374,-0.010637411519849394,0.00015744671435340374,7.140050519225372
30 dataset,0.05,0.15,30,6.653470815544467,0.00015603238128849122,-0.010576335732546982,0.00015603238128849122,6.664047151277014
30 dataset,0.05,0.16,30,6.2370535562280445,0.00015404482675426083,-0.010490648094156337,0.00015404482675426083,6.2475442043222005
30 dataset,0.05,0.17,30,5.869651547952136,0.00015197081160566218,-0.01039005611581737,0.00015197081160566218,5.880041604067953
30 dataset,0.05,0.18,30,5.543099429190296,0.00015036167714644718,-0.010273196873882586,0.00015036167714644718,5.553372626064179
30 dataset,0.05,0.19,30,5.250943516512782,0.00014814243629118374,-0.010146339758544209,0.00014814243629118374,5.261089856271327
30 dataset,0.05,0.2,30,4.988016737968562,0.00014613698039733786,-0.01001862548919844,0.00014613698039733786,4.998035363457761
30 dataset,0.05,0.21,30,4.750162751497335,0.00014429735401691037,-0.009870927986247509,0.00014429735401691037,4.760033679483582
30 dataset,0.05,0.22,30,4.533933732002866,0.00014300703212211585,-0.009734780231462901,0.00014300703212211585,4.543668512234328
30 dataset,0.05,0.23,30,4.3365347746258935,0.00014038627104962686,-0.009582932728679735,0.00014038627104962686,4.346117707354574
30 dataset,0.05,0.24,30,4.155591737460224,0.00013830149285490968,-0.009437732087910376,0.00013830149285490968,4.165029469548134
30 dataset,0.05,0.25,30,3.989142609674289,0.0001372963349626447,-0.009285681091918982,0.0001372963349626447,3.998428290766208
30 dataset,0.05,0.26,30,3.835498446114336,0.00013496714051492969,-0.00914414116086407,0.00013496714051492969,3.8446425872752
30 dataset,0.05,0.27,30,3.6932560469385853,0.00013381573184589638,-0.00899237043753297,0.00013381573184589638,3.702248417376118
30 dataset,0.05,0.28,30,3.5611762819211696,0.00013149609517905522,-0.008848977691516222,0.00013149609517905522,3.570025259612686
30 dataset,0.05,0.29,30,3.4382142224593957,0.00012954469324966524,-0.008706717856301248,0.00012954469324966524,3.446920940315697
30 dataset,0.05,0.3,30,3.3234576790328716,0.0001286300842480607,-0.008565896605635576,0.0001286300842480607,3.332023575638507
30 dataset,0.05,0.31,30,3.216118252812603,0.0001255488596016889,-0.008420691353693525,0.0001255488596016889,3.2245389441662966
30 dataset,0.05,0.32,30,3.115484141561139,0.00012390617150750515,-0.008287960599960936,0.00012390617150750515,3.1237721021611002
30 dataset,0.05,0.33,30,3.0209580559257017,0.00012324181269542713,-0.008154285563850106,0.00012324181269542713,3.0291123414895518
30 dataset,0.05,0.34,30,2.93200273933439,0.00012001096226774071,-0.008018062699586858,0.00012001096226774071,2.9400208020339766
30 dataset,0.05,0.35,30,2.8481290836628714,0.00012012047865541512,-0.007891124027277133,0.00012012047865541512,2.8560202076901486
30 dataset,0.05,0.36,30,2.76891899326809,0.00011781662696680105,-0.007767319763999149,0.00011781662696680105,2.7766863130320893
30 dataset,0.05,0.37,30,2.693995261944296,0.00011658621297039417,-0.007645475059898659,0.00011658621297039417,2.701640737004195
30 dataset,0.05,0.38,30,2.62301975347845,0.00011346810014582596,-0.0075251746572131805,0.00011346810014582596,2.6305449281356634
30 dataset,0.05,0.39,30,2.5556933084872586,0.00011165663367512342,-0.0074017496962078015,0.00011165663367512342,2.5630950581834666
30 dataset,0.05,0.4,30,2.4917298010178426,0.00011070451070461156,-0.007287880711037868,0.00011070451070461156,2.4990176817288803
30 dataset,0.05,0.41,30,2.430880487494317,0.00010911119190311397,-0.007185543460687961,0.00010911119190311397,2.438066030955005
30 dataset,0.05,0.42,30,2.3729431013942404,0.0001074868790018185,-0.00707373834755093,0.0001074868790018185,2.380016839741791
30 dataset,0.05,0.43,30,2.317702966138362,0.00010576620430729068,-0.006964644772224378,0.00010576620430729068,2.3246676109105864
30 dataset,0.05,0.44,30,2.2649743276131087,0.00010448995555770329,-0.006859928504055509,0.00010448995555770329,2.271834256117164
30 dataset,0.05,0.45,30,2.214591993299777,0.00010234303667759922,-0.006757057125894054,0.00010234303667759922,2.221349050425671
30 dataset,0.05,0.46,30,2.16640326369069,0.00010042472595678034,-0.006655589986596894,0.00010042472595678034,2.173058853677287
30 dataset,0.05,0.47,30,2.1202664922582346,0.00010011153217538773,-0.006557066659961443,0.00010011153217538773,2.126823558918196
30 dataset,0.05,0.48,30,2.0760529199197033,9.822576791964029e-05,-0.006461814854363751,9.822576791964029e-05,2.082514734774067
30 dataset,0.05,0.49,30,2.0336428870432055,9.725870139212341e-05,-0.006371547021186506,9.725870139212341e-05,2.040014434064392
30 dataset,0.05,0.5,30,1.9929352738712371,9.499095880354781e-05,-0.006278871511866816,9.499095880354781e-05,1.999214145383104
30 dataset,0.05,0.51,30,1.9538222835717387,9.361938120286964e-05,-0.0061915844509123795,9.361938120286964e-05,1.960013868022651
30 dataset,0.05,0.52,30,1.9162152012319724,9.242281281478713e-05,-0.006106092405627491,9.242281281478713e-05,1.9223212936376
30 dataset,0.05,0.53,30,1.8800295554355402,9.162114782537394e-05,-0.006021525114557943,9.162114782537394e-05,1.886051080550098
30 dataset,0.05,0.54,30,1.8451852565038835,8.875301516563595e-05,-0.005938952184175432,8.875301516563595e-05,1.851124208688059
30 dataset,0.05,0.55,30,1.811608459753566,8.849230366479534e-05,-0.005858945140164838,8.849230366479534e-05,1.817467404893731
30 dataset,0.05,0.56,30,1.779233088183524,8.61333113282558e-05,-0.005779541622818785,8.61333113282558e-05,1.785012629806343
30 dataset,0.05,0.57,30,1.7479890523320822,8.603603230655606e-05,-0.005707566425026728,8.603603230655606e-05,1.753696618757109
30 dataset,0.05,0.58,30,1.717842069991511,8.46647629662346e-05,-0.005618400166337428,8.46647629662346e-05,1.7234604701578484
30 dataset,0.05,0.59,30,1.688691916291817,8.324332656912138e-05,-0.00555735945657621,8.324332656912138e-05,1.6942492757483933
30 dataset,0.05,0.6,30,1.6605288742975985,8.255241280004025e-05,-0.005482913521654882,8.255241280004025e-05,1.6660117878192535
30 dataset,0.05,0.61,30,1.6332848693261766,8.091614546127583e-05,-0.0054152498403021365,8.091614546127583e-05,1.6387001191664787
30 dataset,0.05,0.62,30,1.6069305423364657,8.036150695051729e-05,-0.00533892974668255,8.036150695051729e-05,1.6122694720831483
30 dataset,0.05,0.63,30,1.5814055706598533,8.059353668746676e-05,-0.005272322501340412,8.059353668746676e-05,1.5866778931611938
30 dataset,0.05,0.64,30,1.5566798717937593,7.863793829960936e-05,-0.005206179286790892,7.863793829960936e-05,1.5618860510805501
30 dataset,0.05,0.65,30,1.5327066080261587,7.726433602755993e-05,-0.005150426883921517,7.726433602755993e-05,1.5378570349100802
30 dataset,0.05,0.66,30,1.509473736549598,7.450769555111181e-05,-0.0050824341951779236,7.450769555111181e-05,1.5145561707447759
30 dataset,0.05,0.67,30,1.486922838799271,7.570518930582666e-05,-0.005028015964239612,7.570518930582666e-05,1.4919508547635105
30 dataset,0.05,0.68,30,1.4650471130636453,7.475629451965254e-05,-0.004963287953342929,7.475629451965254e-05,1.4700104010169883
30 dataset,0.05,0.69,30,1.4438063282492664,7.388331261062915e-05,-0.004899574202258449,7.388331261062915e-05,1.4487059024515248
30 dataset,0.05,0.7,30,1.4231643205319637,7.257289328263265e-05,-0.004845783313110568,7.257289328263265e-05,1.4280101038450743
30 dataset,0.05,0.71,30,1.4031133080718043,7.17521126940231e-05,-0.004783977409255043,7.17521126940231e-05,1.4078972854810594
30 dataset,0.05,0.72,30,1.383600764940906,7.164279604570498e-05,-0.004742391575138707,7.164279604570498e-05,1.3883431565160447
30 dataset,0.05,0.73,30,1.3646499171296227,6.747926473256079e-05,-0.004674839982092662,6.747926473256079e-05,1.3693247571117153
30 dataset,0.05,0.74,30,1.3462018972868228,6.91632291895372e-05,-0.004618471215274545,6.91632291895372e-05,1.3508203685020974
30 dataset,0.05,0.75,30,1.3282382980347374,6.881637816537361e-05,-0.004571132220665313,6.881637816537361e-05,1.3328094302554028
30 dataset,0.05,0.76,30,1.3107514607201705,6.625607443321936e-05,-0.0045210033476612566,6.625607443321936e-05,1.3152724640678317
30 dataset,0.05,0.77,30,1.2937214265585988,6.639439114178533e-05,-0.004469576936923508,6.639439114178533e-05,1.2981910034955222
30 dataset,0.05,0.78,30,1.2771255795863026,6.544457274402963e-05,-0.004421949505430687,6.544457274402963e-05,1.2815475290917333
30 dataset,0.05,0.79,30,1.2609607459411936,6.312519517356212e-05,-0.004364662529125456,6.312519517356212e-05,1.265325408470319
30 dataset,0.05,0.8,30,1.245179287476459,6.329786676436342e-05,-0.00432955338798121,6.329786676436342e-05,1.2495088408644401
30 dataset,0.05,0.81,30,1.2297999455073265,6.509528566581534e-05,-0.0042828602847128855,6.509528566581534e-05,1.2340828057920394
30 dataset,0.05,0.82,30,1.2147961893140344,6.352225820100481e-05,-0.004236826163467977,6.352225820100481e-05,1.2190330154775024
30 dataset,0.05,0.83,30,1.2001597911221125,6.091041890215819e-05,-0.004186079590601121,6.091041890215819e-05,1.2043458707127135
30 dataset,0.05,0.84,30,1.1858655111439356,5.994272950926829e-05,-0.004142908726959954,5.994272950926829e-05,1.1900084198708956
30 dataset,0.05,0.85,30,1.1719144980157654,5.9722584459429044e-05,-0.004093822797825242,5.9722584459429044e-05,1.1760083208135907
30 dataset,0.05,0.86,30,1.1582734420663456,5.8665996740894e-05,-0.004060363388947506,5.8665996740894e-05,1.1623338054552932
30 dataset,0.05,0.87,30,1.1449576983939156,5.810837473058113e-05,-0.004015948377983452,5.810837473058113e-05,1.148973646771899
30 dataset,0.05,0.88,30,1.1319526806440576,5.670036483108089e-05,-0.0039644474145243145,5.670036483108089e-05,1.135917128058582
30 dataset,0.05,0.89,30,1.1192219747335417,5.807932409876001e-05,-0.003932039526629077,5.807932409876001e-05,1.1231540142601708
30 dataset,0.05,0.9,30,1.10678484994595,5.65994017749503e-05,-0.0038896752668856403,5.65994017749503e-05,1.1106745252128356
30 dataset,0.05,0.91,30,1.0946138742653535,5.738657906366915e-05,-0.00385543638470372,5.738657906366915e-05,1.0984693106500572
30 dataset,0.05,0.92,30,1.0827061558451068,5.586906850274853e-05,-0.0038232709935365973,5.586906850274853e-05,1.0865294268386434
30 dataset,0.05,0.93,30,1.0710719668025814,5.692164989848864e-05,-0.00377434791951748,5.692164989848864e-05,1.074846314722099
30 dataset,0.05,0.94,30,1.0596561154110407,5.486384438524747e-05,-0.003755664048057469,5.486384438524747e-05,1.063411779459098
30 dataset,0.05,0.95,30,1.0485057174576842,5.606853858359551e-05,-0.0037122537965812996,5.606853858359551e-05,1.0522179712542654
30 dataset,0.05,0.96,30,1.037575952012701,5.496815228854692e-05,-0.00368141537433255,5.496815228854692e-05,1.0412573673870336
30 dataset,0.05,0.97,30,1.026891771229179,5.29103638908757e-05,-0.0036309841229364677,5.29103638908757e-05,1.0305227553521155
30 dataset,0.05,0.98,30,1.0164090779184187,5.336132228908117e-05,-0.003598139113777485,5.336132228908117e-05,1.020007217032196
30 dataset,0.05,0.99,30,1.0061429087018832,5.237605710912183e-05,-0.0035612051279674604,5.237605710912183e-05,1.0097041138298506
30 dataset,0.05,1.0,30,0.9960693657268622,4.944863704566085e-05,-0.003537706964689855,4.944863704566085e-05,0.999607072691552
30 dataset,0.05,1.01,30,0.9862061489509539,5.2197745766860066e-05,-0.0035038240109788983,5.2197745766860066e-05,0.9897099729619329
30 dataset,0.05,1.02,30,0.9765475646261428,5.08735732283597e-05,-0.0034593693851827827,5.08735732283597e-05,0.9800069340113255
30 dataset,0.05,1.03,30,0.9670427893256264,5.025833862631205e-05,-0.003449514258404739,5.025833862631205e-05,0.9704923035840312
30 dataset,0.05,1.04,30,0.9577544706133455,4.922082999321335e-05,-0.0034061762054544776,4.922082999321335e-05,0.9611606468188
30 dataset,0.05,1.05,30,0.9486272064859633,4.8118314816518336e-05,-0.0033795294107529673,4.8118314816518336e-05,0.9520067358967162
30 dataset,0.05,1.06,30,0.9396766829055523,4.803906052820333e-05,-0.0033488573694967372,4.803906052820333e-05,0.943025540275049
30 dataset,0.05,1.07,30,0.9308997287075158,4.809053443985457e-05,-0.003312488761224311,4.809053443985457e-05,0.9342122174687402
30 dataset,0.05,1.08,30,0.9222654149743345,5.0109782282442963e-05,-0.0032966893696950695,5.0109782282442963e-05,0.9255621043440295
30 dataset,0.05,1.09,30,0.9138105955461768,4.694342742881763e-05,-0.0032601133451553546,4.694342742881763e-05,0.9170707088913321
30 dataset,0.05,1.1,30,0.9054881765057147,4.4275727898206145e-05,-0.0032455259411507983,4.4275727898206145e-05,0.9087337024468655
30 dataset,0.05,1.11,30,0.8973391700336595,4.67549648243947e-05,-0.0032077423010719894,4.67549648243947e-05,0.9005469123347315
30 dataset,0.05,1.12,30,0.8893289385266872,4.70618581944397e-05,-0.003177376376484271,4.70618581944397e-05,0.8925063149031714
30 dataset,0.05,1.13,30,0.8814512266224136,4.559380755646592e-05,-0.003156802308163458,4.559380755646592e-05,0.8846080289305771
30 dataset,0.05,1.14,30,0.8737210899099024,4.711749269184583e-05,-0.0031272194686521155,4.711749269184583e-05,0.8768483093785545
